Country,ISO3,Year,Population,Dependency_Ratio_Old,Dependency_Ratio_Young,Health_Expenditure,GDP_percapita,income_level
Andorra,AND,2000,65685.0,17.0371305885325,21.2237938873453,5.95276403,21810.2487431414,High income
Andorra,AND,2001,65852.0,17.7504801705397,21.2393676523354,5.85823727,23511.2951475737,High income
Andorra,AND,2002,66506.0,18.3754406580494,21.1809635722679,5.99621153,26528.130158144,High income
Andorra,AND,2003,69486.0,18.0241040912997,20.8562348849759,5.54771519,34063.5784034776,High income
Andorra,AND,2004,74325.0,16.9154872325487,20.4112930046931,5.28846931,39021.1278101878,High income
Andorra,AND,2005,77421.0,16.2937322289529,20.4369249245006,5.59476948,40829.801876968,High income
Andorra,AND,2006,79585.0,16.1552191672674,20.4338722411012,4.96530008,43467.2109930745,High income
Andorra,AND,2007,81877.0,16.2475854259642,20.0959168720442,4.92347288,48336.2283329823,High income
Andorra,AND,2008,83495.0,16.6029349282609,19.8401804098441,5.67066383,49132.515707808,High income
Andorra,AND,2009,83888.0,17.1983469724441,19.828163538655,6.08094168,43975.0183668093,High income
Andorra,AND,2010,80706.0,17.6291116024751,20.7058500882741,7.67537737,42746.8309526019,High income
Andorra,AND,2011,77783.0,17.6727533118511,21.5753669889008,7.62060833,46657.1561173756,High income
Andorra,AND,2012,76834.0,17.6587877030162,21.6139791183295,6.71083689,41500.5435791686,High income
Andorra,AND,2013,75194.0,17.7825587002485,21.6792165881524,6.79964209,42470.3161159692,High income
Andorra,AND,2014,73737.0,17.9452728786617,21.5918552721217,6.77308035,44369.659691379,High income
Andorra,AND,2015,72174.0,18.0134777655487,21.3481627372608,6.91586447,38654.9347203095,High income
Andorra,AND,2016,72181.0,18.1075351705531,20.9963384081711,6.90521765,40129.8192007698,High income
Andorra,AND,2017,73763.0,18.3200361282553,20.4783230468162,7.07142639,40672.9943348258,High income
Andorra,AND,2018,75162.0,18.6557962346099,19.6698382317758,7.37541723,42819.7745797624,High income
Andorra,AND,2019,76474.0,19.0810488892097,18.9312591362726,7.323246,41257.8045846483,High income
Andorra,AND,2020,77380.0,19.6411355115158,18.5127655775754,8.78673935,37361.0900666982,High income
Andorra,AND,2021,78364.0,20.1745877788555,18.0213385063046,8.859310155181792,47807.43915623695,High income
Andorra,AND,2022,79705.0,20.6826613043026,17.4860451409354,8.979971015209896,48736.8365092776,High income
Andorra,AND,2023,80856.0,21.3162124269056,16.9322572923435,9.120635977182843,49684.30174997515,High income
Andorra,AND,2024,81938.0,22.0955795312341,16.4693746406467,9.286037509941425,50650.18612590236,High income
Andorra,AND,2025,82904.0,23.0614198619439,16.1770880569691,9.483602130229912,51634.84771303715,High income
Andorra,AND,2026,83753.0,24.1292825254569,15.9111809654388,9.698272898864944,52638.651548509755,High income
Andorra,AND,2027,84463.0,25.3306613226453,15.7231128924516,9.935658752581784,53661.96976593056,High income
Andorra,AND,2028,84958.0,26.7339175896912,15.6274611659433,10.20650335810064,54705.18173334875,High income
Andorra,AND,2029,85344.0,28.1986049802878,15.5895137648684,10.488728219065289,55768.674193892926,High income
Andorra,AND,2030,85681.0,29.7344502475751,15.5565353048905,10.783085784536118,56852.84140914584,High income
Andorra,AND,2031,85883.0,31.3577291381669,15.499316005472,11.091677016615217,57958.08530530644,High income
Andorra,AND,2032,85984.0,33.0253363499767,15.4746895563116,11.408719835330327,59084.8156221933,High income
Andorra,AND,2033,86055.0,34.8754261736166,15.5835300288487,11.756943036272778,60233.45006514479,High income
Andorra,AND,2034,86106.0,36.7408404790589,15.8103607115017,12.110441688046404,61404.41445987223,High income
Andorra,AND,2035,86174.0,38.5485289630042,16.1374284226965,12.457749089417884,62598.14291032346,High income
Andorra,AND,2036,86121.0,40.5306763020548,16.6301689842695,12.835540478472328,63815.07795961537,High income
Andorra,AND,2037,86007.0,42.7411865225306,17.0102901296482,13.248094340835372,65055.67075409497,High income
Andorra,AND,2038,85941.0,44.9709499735909,17.1451746774315,13.661358492489828,66320.38121058994,High income
Andorra,AND,2039,85844.0,47.1492866034664,17.2574930575505,14.067718217705046,67609.67818691059,High income
Andorra,AND,2040,85668.0,49.4052833420935,17.3626116918764,14.487271621619398,68924.03965566638,High income
Andorra,AND,2041,85478.0,51.5862341772152,17.4762658227848,14.896791880624772,70263.95288146166,High income
Andorra,AND,2042,85284.0,53.7490958772,17.6002571727075,15.305090134464926,71629.91460153603,High income
Andorra,AND,2043,85013.0,55.8943047926324,17.7043556390517,15.711822611595906,73022.43120991642,High income
Andorra,AND,2044,84678.0,57.9504420371062,17.7831735358818,16.10595718921527,74442.01894514938,High income
Andorra,AND,2045,84294.0,59.8840396373603,17.8368121442125,16.48237750769368,75889.20408168263,High income
Andorra,AND,2046,83917.0,61.7817076303845,17.8813051297422,16.854662920262534,77364.52312496747,High income
Andorra,AND,2047,83515.0,63.7587834751017,17.9259033654578,17.24071237084439,78868.52301035386,High income
Andorra,AND,2048,83087.0,65.4864131034635,17.9267565837399,17.589353015898308,80401.76130585218,High income
Andorra,AND,2049,82641.0,66.8880094797326,17.8795805665482,17.888776857038415,81964.8064188368,High income
Andorra,AND,2050,82195.0,68.0474844544941,17.8089315997739,18.152274236820787,83558.23780676794,High income
Argentina,ARG,2000,37213984.0,15.536780754278,45.3031616468956,8.22001076,7637.01489203628,Upper middle income
Argentina,ARG,2001,37624825.0,15.6034995940423,44.8385891776457,8.37179852,7141.47507662826,Upper middle income
Argentina,ARG,2002,38029349.0,15.6661577646685,44.3438603887641,7.3933115,2569.69963519124,Upper middle income
Argentina,ARG,2003,38424282.0,15.7037442216745,43.8120278343514,6.89451647,3320.47775133903,Upper middle income
Argentina,ARG,2004,38815916.0,15.7354699936422,43.2554108667324,7.22868252,4242.02099089422,Upper middle income
Argentina,ARG,2005,39216789.0,15.7937377274489,42.6947939892607,7.61078882,5067.65342293276,Upper middle income
Argentina,ARG,2006,39622115.0,15.8706830163712,42.1296696541309,7.64032793,5869.38028970204,Upper middle income
Argentina,ARG,2007,40016763.0,15.93391967577,41.5711237862678,7.83455086,7185.25155147027,Upper middle income
Argentina,ARG,2008,40424148.0,16.0118370960437,41.062350577237,8.1826973,8944.1102657357,Upper middle income
Argentina,ARG,2009,40854831.0,16.1379071006065,40.5977786677385,9.45599556,8150.23527028221,Upper middle income
Argentina,ARG,2010,41288694.0,16.2743145548326,40.1778275564014,9.44546413,10260.1313108254,Upper middle income
Argentina,ARG,2011,41730660.0,16.4339146497796,39.8400391139328,9.41819859,12704.2831819684,Upper middle income
Argentina,ARG,2012,42161721.0,16.6176610722898,39.5291137228417,9.82726669,12949.717486654,Upper middle income
Argentina,ARG,2013,42582455.0,16.8020097973001,39.246694673681,9.78097916,12963.675773326,Upper middle income
Argentina,ARG,2014,43024071.0,16.9976536718042,39.0279891205802,9.67129993,12233.1444119186,Upper middle income
Argentina,ARG,2015,43477012.0,17.2149420931919,38.8373470565414,10.22933674,13679.6264980954,Upper middle income
Argentina,ARG,2016,43900313.0,17.428506034874,38.6176660997503,9.85558891,12699.9623137756,Upper middle income
Argentina,ARG,2017,44288894.0,17.6360406247971,38.3367608997386,10.23174763,14532.5009308511,Upper middle income
Argentina,ARG,2018,44654882.0,17.8664360458422,37.9864893602132,10.29146862,11752.7998922979,Upper middle income
Argentina,ARG,2019,44973465.0,18.0994378665041,37.4937423286225,10.1555109,9955.97478680428,Upper middle income
Argentina,ARG,2020,45191965.0,18.2822768577117,36.7385200325396,10.45030594,8535.59938004389,Upper middle income
Argentina,ARG,2021,45312281.0,18.3808404939187,35.8386839470968,7.098741586382474,15598.161127212445,Upper middle income
Argentina,ARG,2022,45407904.0,18.4528820822776,34.8856643045046,7.1456841007567355,16516.20576587082,Upper middle income
Argentina,ARG,2023,45538401.0,18.600375437612,33.8239612447006,7.205577070372803,17488.282796661562,Upper middle income
Argentina,ARG,2024,45696159.0,18.8178147185688,32.7431422852471,7.279044510575705,18517.572347517853,Upper middle income
Argentina,ARG,2025,45851378.0,19.042142805536,31.6740911492555,7.357020220951544,19607.441715833927,Upper middle income
Argentina,ARG,2026,46003734.0,19.2571802074777,30.6030783032831,7.437010214174636,20761.456384500503,Upper middle income
Argentina,ARG,2027,46153342.0,19.4760262632221,29.5990580816489,7.522232752527398,21983.391686302104,Upper middle income
Argentina,ARG,2028,46299946.0,19.6955795361532,28.6301319395612,7.611964805700312,23277.245154832304,Upper middle income
Argentina,ARG,2029,46443764.0,19.8941631913077,27.6065049382836,7.701800395638994,24647.249602334086,Upper middle income
Argentina,ARG,2030,46585022.0,20.0665952713448,26.5760360965144,7.791879105170537,26097.886967248993,Upper middle income
Argentina,ARG,2031,46723736.0,20.2290576570051,25.6422162418672,7.886446414274467,27633.902976776968,Upper middle income
Argentina,ARG,2032,46859877.0,20.4070310238868,24.8319658536836,7.990082668332768,29260.32267241513,Upper middle income
Argentina,ARG,2033,46993516.0,20.6177913819014,24.1437574550932,8.105710166309896,30982.466849266915,Upper middle income
Argentina,ARG,2034,47124535.0,20.8812258127536,23.6446991737943,8.237664725649775,32805.96946290247,Upper middle income
Argentina,ARG,2035,47251994.0,21.2186250710184,23.4418883287557,8.391095707619476,34736.796060716326,Upper middle income
Argentina,ARG,2036,47375365.0,21.6194878003005,23.4284350528613,8.563180497186622,36781.26329808029,Upper middle income
Argentina,ARG,2037,47494512.0,22.0699207415853,23.4945052580728,8.750552346872137,38946.05960313803,Upper middle income
Argentina,ARG,2038,47608787.0,22.5683995549807,23.6162332391179,8.953014118568522,41238.267057845864,Upper middle income
Argentina,ARG,2039,47716823.0,23.1129003718879,23.7245844533309,9.16965956672619,43665.38456684312,Upper middle income
Argentina,ARG,2040,47817645.0,23.7057515960029,23.8281996991048,9.401401700054588,46235.35238994833,Upper middle income
Argentina,ARG,2041,47910498.0,24.3460276090935,23.9247862892364,9.648519940309274,48956.57811853896,Upper middle income
Argentina,ARG,2042,47994507.0,25.0360885179927,24.0120047135643,9.911825049225946,51837.964180795694,Upper middle income
Argentina,ARG,2043,48069561.0,25.7627835431964,24.0886900632665,10.189788092583168,54888.93696579405,Upper middle income
Argentina,ARG,2044,48135529.0,26.5069561839347,24.1493139213442,10.47992340977815,58119.47766172222,Upper middle income
Argentina,ARG,2045,48191841.0,27.2554980869087,24.1873714481734,10.780692987580494,61540.15490911162,Upper middle income
Argentina,ARG,2046,48237678.0,27.99865918292,24.1989685969067,11.09114672297606,65162.15937590432,Upper middle income
Argentina,ARG,2047,48272492.0,28.7325109562861,24.1814197339764,11.411282845210412,68997.34036746921,Upper middle income
Argentina,ARG,2048,48296026.0,29.4539136312723,24.1325229916826,11.74126562133074,73058.24459133539,Upper middle income
