Country,ISO3,Year,Population,Dependency_Ratio_Old,Dependency_Ratio_Young,Health_Expenditure,GDP_percapita,income_level,log_GDP_percapita
Andorra,AND,2000,65685.0,17.0371305885325,21.2237938873453,5.95276403,21810.2487431414,High income,9.990135264134828
Andorra,AND,2001,65852.0,17.7504801705397,21.2393676523354,5.85823727,23511.2951475737,High income,10.065236229237248
Andorra,AND,2002,66506.0,18.3754406580494,21.1809635722679,5.99621153,26528.130158144,High income,10.185960964366894
Andorra,AND,2003,69486.0,18.0241040912997,20.8562348849759,5.54771519,34063.5784034776,High income,10.435984010456083
Andorra,AND,2004,74325.0,16.9154872325487,20.4112930046931,5.28846931,39021.1278101878,High income,10.571858517147101
Andorra,AND,2005,77421.0,16.2937322289529,20.4369249245006,5.59476948,40829.801876968,High income,10.617167531913115
Andorra,AND,2006,79585.0,16.1552191672674,20.4338722411012,4.96530008,43467.2109930745,High income,10.679762162574976
Andorra,AND,2007,81877.0,16.2475854259642,20.0959168720442,4.92347288,48336.2283329823,High income,10.785936627485336
Andorra,AND,2008,83495.0,16.6029349282609,19.8401804098441,5.67066383,49132.515707808,High income,10.802276328977097
Andorra,AND,2009,83888.0,17.1983469724441,19.828163538655,6.08094168,43975.0183668093,High income,10.691376987270464
Andorra,AND,2010,80706.0,17.6291116024751,20.7058500882741,7.67537737,42746.8309526019,High income,10.663050341853461
Andorra,AND,2011,77783.0,17.6727533118511,21.5753669889008,7.62060833,46657.1561173756,High income,10.750581594668994
Andorra,AND,2012,76834.0,17.6587877030162,21.6139791183295,6.71083689,41500.5435791686,High income,10.633461804426227
Andorra,AND,2013,75194.0,17.7825587002485,21.6792165881524,6.79964209,42470.3161159692,High income,10.656560666556498
Andorra,AND,2014,73737.0,17.9452728786617,21.5918552721217,6.77308035,44369.659691379,High income,10.70031117455267
Andorra,AND,2015,72174.0,18.0134777655487,21.3481627372608,6.91586447,38654.9347203095,High income,10.562429722975747
Andorra,AND,2016,72181.0,18.1075351705531,20.9963384081711,6.90521765,40129.8192007698,High income,10.599874957912409
Andorra,AND,2017,73763.0,18.3200361282553,20.4783230468162,7.07142639,40672.9943348258,High income,10.613319621340464
Andorra,AND,2018,75162.0,18.6557962346099,19.6698382317758,7.37541723,42819.7745797624,High income,10.66475529776182
Andorra,AND,2019,76474.0,19.0810488892097,18.9312591362726,7.323246,41257.8045846483,High income,10.627595575918455
Andorra,AND,2020,77380.0,19.6411355115158,18.5127655775754,8.78673935,37361.0900666982,High income,10.528385069291277
Andorra,AND,2021,78364.0,20.1745877788555,18.0213385063046,8.33450699,42425.6996756291,High income,10.655509582026047
Andorra,AND,2022,79705.0,20.6826613043026,17.4860451409354,7.53678846,42414.0590092117,High income,10.655235166665351
Andorra,AND,2023,80856.0,21.3162124269056,16.9322572923435,,46812.4484486309,High income,10.75390443902812
Andorra,AND,2024,81938.0,22.0955795312341,16.4693746406467,,,High income,
Andorra,AND,2025,82904.0,23.0614198619439,16.1770880569691,,,High income,
Andorra,AND,2026,83753.0,24.1292825254569,15.9111809654388,,,High income,
Andorra,AND,2027,84463.0,25.3306613226453,15.7231128924516,,,High income,
Andorra,AND,2028,84958.0,26.7339175896912,15.6274611659433,,,High income,
Andorra,AND,2029,85344.0,28.1986049802878,15.5895137648684,,,High income,
Andorra,AND,2030,85681.0,29.7344502475751,15.5565353048905,,,High income,
Andorra,AND,2031,85883.0,31.3577291381669,15.499316005472,,,High income,
Andorra,AND,2032,85984.0,33.0253363499767,15.4746895563116,,,High income,
Andorra,AND,2033,86055.0,34.8754261736166,15.5835300288487,,,High income,
Andorra,AND,2034,86106.0,36.7408404790589,15.8103607115017,,,High income,
Andorra,AND,2035,86174.0,38.5485289630042,16.1374284226965,,,High income,
Andorra,AND,2036,86121.0,40.5306763020548,16.6301689842695,,,High income,
Andorra,AND,2037,86007.0,42.7411865225306,17.0102901296482,,,High income,
Andorra,AND,2038,85941.0,44.9709499735909,17.1451746774315,,,High income,
Andorra,AND,2039,85844.0,47.1492866034664,17.2574930575505,,,High income,
Andorra,AND,2040,85668.0,49.4052833420935,17.3626116918764,,,High income,
Andorra,AND,2041,85478.0,51.5862341772152,17.4762658227848,,,High income,
Andorra,AND,2042,85284.0,53.7490958772,17.6002571727075,,,High income,
Andorra,AND,2043,85013.0,55.8943047926324,17.7043556390517,,,High income,
Andorra,AND,2044,84678.0,57.9504420371062,17.7831735358818,,,High income,
Andorra,AND,2045,84294.0,59.8840396373603,17.8368121442125,,,High income,
Andorra,AND,2046,83917.0,61.7817076303845,17.8813051297422,,,High income,
Andorra,AND,2047,83515.0,63.7587834751017,17.9259033654578,,,High income,
Andorra,AND,2048,83087.0,65.4864131034635,17.9267565837399,,,High income,
Andorra,AND,2049,82641.0,66.8880094797326,17.8795805665482,,,High income,
Andorra,AND,2050,82195.0,68.0474844544941,17.8089315997739,,,High income,
Argentina,ARG,2000,37213984.0,15.536780754278,45.3031616468956,8.22001076,7637.01489203628,Upper middle income,8.940762084871592
Argentina,ARG,2001,37624825.0,15.6034995940423,44.8385891776457,8.37179852,7141.47507662826,Upper middle income,8.873674627361462
Argentina,ARG,2002,38029349.0,15.6661577646685,44.3438603887641,7.3933115,2569.69963519124,Upper middle income,7.851544297592586
Argentina,ARG,2003,38424282.0,15.7037442216745,43.8120278343514,6.89451647,3320.47775133903,Upper middle income,8.107863952563509
Argentina,ARG,2004,38815916.0,15.7354699936422,43.2554108667324,7.22868252,4242.02099089422,Upper middle income,8.352795083460856
Argentina,ARG,2005,39216789.0,15.7937377274489,42.6947939892607,7.61078882,5067.65342293276,Upper middle income,8.53063315373026
Argentina,ARG,2006,39622115.0,15.8706830163712,42.1296696541309,7.64032793,5869.38028970204,Upper middle income,8.677504334796174
