Country,ISO3,Year,Dependency_Ratio,Health_Expenditure,Education_perGDP,RD_Expenditure,Contribution_revenue,GDP_percapita
Argentina,ARG,2000,60.8399424011737,8.22001076,4.58031,0.438840001821518,23.4222563056389,7637.01489203628
Argentina,ARG,2001,60.442088771688,8.37179852,4.83374,0.424609988927841,22.8402715311037,7141.47507662826
Argentina,ARG,2002,60.0100181534326,7.3933115,4.01734,0.388859987258911,19.678291491537,2569.69963519124
Argentina,ARG,2003,59.5157720560259,6.89451647,3.53505,0.410129994153976,16.2280570401266,3320.47775133903
Argentina,ARG,2004,58.9908808603745,7.22868252,3.48652,0.403759986162186,16.5557606385361,4242.02099089422
Argentina,ARG,2005,58.4885317167095,7.61078882,3.86001,0.420740008354187,17.4505649644846,5067.65342293276
Argentina,ARG,2006,58.0003526705021,7.64032793,4.12821,0.452160000801086,19.433826752701,5869.38028970204
Argentina,ARG,2007,57.5050434620378,7.83455086,4.4626,0.460070013999939,26.4020495129493,7185.25155147027
Argentina,ARG,2008,57.0741876732807,8.1826973,4.84441,0.470550000667572,24.02195439319,8944.1102657357
Argentina,ARG,2009,56.735685768345,9.45599556,5.53105,0.583980023860931,28.9770737481959,8150.23527028221
Argentina,ARG,2010,56.452142111234,9.44546413,5.01971,0.561039984226227,28.306984863164,10260.1313108254
Argentina,ARG,2011,56.2739537637124,9.41819859,5.29063,0.565970003604889,30.3497828604286,12704.2831819684
Argentina,ARG,2012,56.1467747951315,9.82726669,5.34583,0.634909987449646,31.2223396268536,12949.717486654
Argentina,ARG,2013,56.0487044709811,9.78097916,5.43661,0.618489980697632,31.7523181946791,12963.675773326
Argentina,ARG,2014,56.0256427923844,9.67129993,5.36144,0.593959987163544,29.2376840944513,12233.1444119186
Argentina,ARG,2015,56.0522891497333,10.22933674,5.77611,0.622619986534119,31.1406982010086,13679.6264980954
Argentina,ARG,2016,56.0461721346243,9.85558891,5.54549,0.558149993419647,32.3220780680517,12699.9623137756
Argentina,ARG,2017,55.9728015245357,10.23174763,5.46223,0.556309998035431,35.0715804198445,14532.5009308511
Armenia,ARM,2004,48.9919306433595,6.05510139,2.48673,0.256590008735657,14.082448556199,1130.08791444158
Armenia,ARM,2005,47.8193074702708,5.8618803,2.71203,0.257609993219376,14.2543232675329,1557.48458908655
Armenia,ARM,2006,46.4862231466127,5.85007095,2.71577,0.240569993853569,14.8262017223638,2041.65267068997
Armenia,ARM,2007,45.1305540220802,5.49814034,3.01894,0.211070001125336,12.666552810745,2962.70234594569
Armenia,ARM,2008,44.0261431322025,6.63976622,3.17273,0.224380001425743,12.6315310828822,3777.66859313767
Armenia,ARM,2009,43.2941291937252,8.44377708,3.84079,0.29093000292778,14.2432790431012,2820.5926553347
Armenia,ARM,2010,42.9172236658305,9.23538303,3.249,0.241390004754066,12.9238503075137,3041.34450723339
Armenia,ARM,2011,42.8588952887091,9.37588882,3.14385,0.270139992237091,13.3840445298085,3349.55309771906
Armenia,ARM,2012,43.1066653605776,9.13455009,2.77248,0.238529995083809,13.0790933541963,3511.56399687426
Armenia,ARM,2013,43.5955735295585,10.32345009,2.65018,0.222159996628761,1.61983528844496,3680.16692158886
Armenia,ARM,2014,44.220347328995,10.17827892,2.24724,0.241510003805161,1.40949242625845,3852.11800610384
Armenia,ARM,2015,45.0074829961521,10.11762714,2.80591,0.250019997358322,0.726236230955159,3512.39350276709
Brazil,BRA,2010,45.7187256688073,7.94516611,5.6488,1.15991997718811,31.5529577946931,11403.2821284616
Brazil,BRA,2011,45.1609994407706,7.78819132,5.73741,1.13966000080109,31.8870126994403,13396.6243566047
Brazil,BRA,2012,44.6429009356262,7.73637724,5.8551,1.12683999538422,31.4412568226523,12521.7213530369
Brazil,BRA,2013,44.1751173479507,7.9766016,5.83885,1.19567000865936,32.2561576862547,12458.891214816
Brazil,BRA,2014,43.8183703322034,8.39644146,5.94848,1.26970994472504,33.7823427905954,12274.9939689363
Brazil,BRA,2015,43.5935934449924,8.90929985,6.24106,1.37092995643616,31.6180564110507,8936.19661756825
Brazil,BRA,2016,43.4398109123601,9.16901684,6.31404,1.28637003898621,31.2806879470141,8836.28652636996
Brazil,BRA,2017,43.3713300884192,9.47125053,6.32255,1.11749994754791,33.8720942275792,10080.5092817775
Canada,CAN,2000,46.505468173978,8.24814415,5.442,1.85847997665405,18.8661802378576,24271.0020563821
Canada,CAN,2001,46.0490993934186,8.62482357,4.96956,2.02116990089417,20.2841026881349,23822.096210932
Canada,CAN,2002,45.6162132930749,8.85670471,5.01073,1.97170996665955,21.9101657296336,24256.0192337185
Canada,CAN,2005,44.4124530492161,9.03540611,4.78215,1.97126996517181,21.4261406175556,36383.6600068095
Canada,CAN,2007,43.9728341323754,9.42872047,4.78036,1.90357995033264,21.0190975213424,44660.0838892281
Canada,CAN,2008,43.979810181512,9.58826923,4.63826,1.85578000545502,21.6219998839381,46710.2526864484
Canada,CAN,2009,44.0683296307463,10.69968033,4.85264,1.9174200296402,23.243451131495,40874.8831932903
Canada,CAN,2010,44.2426034732426,10.70405102,5.36993,1.82503998279572,23.0197142776156,47560.6666009406
Canada,CAN,2011,44.6166392924826,10.40832329,5.27444,1.78714001178741,22.4927020268273,52223.8588398531
Chile,CHL,2007,47.848284266754,6.21259642,3.21379,0.311430007219315,4.88086792562641,10346.4138184533
Chile,CHL,2008,47.1414138519081,6.73954487,3.79243,0.374920010566711,5.60564175669385,10683.2188772853
Chile,CHL,2009,46.5631224830338,7.25026846,4.23065,0.354030013084412,7.46363356760434,10098.8017166866
Chile,CHL,2010,46.0720549966286,6.81958389,4.16209,0.331649988889694,6.25632560406024,12632.8704725219
Chile,CHL,2011,45.6658086015598,6.79947519,4.04519,0.352880001068115,5.89606227033918,14487.3927827263
Chile,CHL,2013,45.2602643872248,7.47552681,4.52943,0.390300005674362,6.82840298248656,15683.54863663
