Country,ISO3,Year,Dependency_Ratio,Health_Expenditure,Education_perGDP,RD_Expenditure,Contribution_revenue,GDP_percapita
Argentina,ARG,2000,60.8399424011737,8.22001076,4.58031,0.438840001821518,23.4222563056389,7637.01489203628
Argentina,ARG,2001,60.442088771688,8.37179852,4.83374,0.424609988927841,22.8402715311037,7141.47507662826
Argentina,ARG,2002,60.0100181534326,7.3933115,4.01734,0.388859987258911,19.678291491537,2569.69963519124
Argentina,ARG,2003,59.5157720560259,6.89451647,3.53505,0.410129994153976,16.2280570401266,3320.47775133903
Argentina,ARG,2004,58.9908808603745,7.22868252,3.48652,0.403759986162186,16.5557606385361,4242.02099089422
Argentina,ARG,2005,58.4885317167095,7.61078882,3.86001,0.420740008354187,17.4505649644846,5067.65342293276
Argentina,ARG,2006,58.0003526705021,7.64032793,4.12821,0.452160000801086,19.433826752701,5869.38028970204
Argentina,ARG,2007,57.5050434620378,7.83455086,4.4626,0.460070013999939,26.4020495129493,7185.25155147027
Argentina,ARG,2008,57.0741876732807,8.1826973,4.84441,0.470550000667572,24.02195439319,8944.1102657357
Argentina,ARG,2009,56.735685768345,9.45599556,5.53105,0.583980023860931,28.9770737481959,8150.23527028221
Argentina,ARG,2010,56.452142111234,9.44546413,5.01971,0.561039984226227,28.306984863164,10260.1313108254
Argentina,ARG,2011,56.2739537637124,9.41819859,5.29063,0.565970003604889,30.3497828604286,12704.2831819684
Argentina,ARG,2012,56.1467747951315,9.82726669,5.34583,0.634909987449646,31.2223396268536,12949.717486654
Argentina,ARG,2013,56.0487044709811,9.78097916,5.43661,0.618489980697632,31.7523181946791,12963.675773326
Argentina,ARG,2014,56.0256427923844,9.67129993,5.36144,0.593959987163544,29.2376840944513,12233.1444119186
Argentina,ARG,2015,56.0522891497333,10.22933674,5.77611,0.622619986534119,31.1406982010086,13679.6264980954
Argentina,ARG,2016,56.0461721346243,9.85558891,5.54549,0.558149993419647,32.3220780680517,12699.9623137756
Argentina,ARG,2017,55.9728015245357,10.23174763,5.46223,0.556309998035431,35.0715804198445,14532.5009308511
Argentina,ARG,2018,55.8529254060554,10.29146862,,0.488299995660782,34.3623413293522,11752.7998922979
Argentina,ARG,2019,55.5931801951266,10.1555109,,0.478130012750626,29.992522998056,9955.97478680428
Argentina,ARG,2020,55.0207968902513,10.45030594,,0.541260004043579,31.9295446732101,8535.59938004389
Armenia,ARM,2000,54.813388611356,4.19581175,2.77273,0.1910600066185,,593.450581742282
Armenia,ARM,2001,52.4889483731996,4.64563894,2.46944,0.279870003461838,,659.588988535629
Armenia,ARM,2002,51.0703531395798,7.61358786,2.13504,0.252550005912781,,742.651118319819
Armenia,ARM,2003,50.0136226039065,7.17936182,2.14504,0.321090012788773,,882.030167695474
Armenia,ARM,2004,48.9919306433595,6.05510139,2.48673,0.256590008735657,14.082448556199,1130.08791444158
Armenia,ARM,2005,47.8193074702708,5.8618803,2.71203,0.257609993219376,14.2543232675329,1557.48458908655
Armenia,ARM,2006,46.4862231466127,5.85007095,2.71577,0.240569993853569,14.8262017223638,2041.65267068997
Armenia,ARM,2007,45.1305540220802,5.49814034,3.01894,0.211070001125336,12.666552810745,2962.70234594569
Armenia,ARM,2008,44.0261431322025,6.63976622,3.17273,0.224380001425743,12.6315310828822,3777.66859313767
Armenia,ARM,2009,43.2941291937252,8.44377708,3.84079,0.29093000292778,14.2432790431012,2820.5926553347
Armenia,ARM,2010,42.9172236658305,9.23538303,3.249,0.241390004754066,12.9238503075137,3041.34450723339
Armenia,ARM,2011,42.8588952887091,9.37588882,3.14385,0.270139992237091,13.3840445298085,3349.55309771906
Armenia,ARM,2012,43.1066653605776,9.13455009,2.77248,0.238529995083809,13.0790933541963,3511.56399687426
Armenia,ARM,2013,43.5955735295585,10.32345009,2.65018,0.222159996628761,1.61983528844496,3680.16692158886
Armenia,ARM,2014,44.220347328995,10.17827892,2.24724,0.241510003805161,1.40949242625845,3852.11800610384
Armenia,ARM,2015,45.0074829961521,10.11762714,2.80591,0.250019997358322,0.726236230955159,3512.39350276709
Armenia,ARM,2016,45.9130890185114,9.95194912,2.75812,0.233050003647804,,3524.42476874707
Armenia,ARM,2017,46.8188831337656,10.36270332,2.70759,0.227880001068115,,3869.05373867752
Armenia,ARM,2018,47.4127303230816,10.00543404,,0.188759997487068,,4196.00562301769
Armenia,ARM,2019,47.8107543362811,11.3798008,,0.178540006279945,,4597.22887399548
Armenia,ARM,2020,48.1754870679756,12.24056244,,0.209199994802475,,4268.68093304583
Australia,AUS,2000,49.4598371499961,7.58869076,4.89147,1.57197999954224,,21870.4159669594
Australia,AUS,2002,49.0739278664306,7.87221003,,1.74653995037079,,20301.8431713256
Australia,AUS,2004,48.6497650677502,8.08257675,,1.84801995754242,,30836.7306824685
Australia,AUS,2006,48.3296763998251,7.97161102,4.7502,2.17862010002136,,36595.7071548423
Australia,AUS,2008,48.1253903251165,8.24737453,4.63776,2.39897990226746,,49701.2817843335
Australia,AUS,2010,48.3638611109409,8.41878414,5.55006,2.37009000778198,,52144.6654705468
Australia,AUS,2011,48.7682383229883,8.53360462,5.07451,2.23445010185242,,62605.600458306
Australia,AUS,2013,49.9243673123919,8.74458122,5.22974,2.17708992958069,,68190.7010035651
Australia,AUS,2015,51.0633010294012,10.17367649,5.31127,1.91902005672455,,56739.0265346593
Australia,AUS,2017,52.0424214921712,10.11242294,5.12425,1.87918996810913,,53901.7145392154
Australia,AUS,2019,52.9197584315896,10.21285057,,1.82570004463196,,54972.7017885437
Bolivia,BOL,2000,76.3336649111143,4.39554119,,0.287440001964569,8.55440460207172,975.777060358751
Bolivia,BOL,2001,75.682735506341,4.82522202,,0.293579995632172,9.22209486517414,930.168227214313
Bolivia,BOL,2002,74.8379179638206,4.89645052,,0.276630014181137,8.66585016840027,888.221328974352
