Country,ISO3,Year,Education_perGDP
Andorra,AND,2000,
Andorra,AND,2001,
Andorra,AND,2002,1.65971
Andorra,AND,2003,
Andorra,AND,2004,1.54412
Andorra,AND,2005,1.64497
Andorra,AND,2006,2.2449
Andorra,AND,2007,2.10469
Andorra,AND,2008,2.87393
Andorra,AND,2009,3.14292
Andorra,AND,2010,2.97663
Andorra,AND,2011,2.98706
Andorra,AND,2012,
Andorra,AND,2013,2.50616
Andorra,AND,2014,3.07421
Andorra,AND,2015,3.28035
Andorra,AND,2016,3.23707
Andorra,AND,2017,3.21709
Andorra,AND,2018,3.24672
Andorra,AND,2019,3.15162
Andorra,AND,2020,
Argentina,ARG,2000,4.58031
Argentina,ARG,2001,4.83374
Argentina,ARG,2002,4.01734
Argentina,ARG,2003,3.53505
Argentina,ARG,2004,3.48652
Argentina,ARG,2005,3.86001
Argentina,ARG,2006,4.12821
Argentina,ARG,2007,4.4626
Argentina,ARG,2008,4.84441
Argentina,ARG,2009,5.53105
Argentina,ARG,2010,5.01971
Argentina,ARG,2011,5.29063
Argentina,ARG,2012,5.34583
Argentina,ARG,2013,5.43661
Argentina,ARG,2014,5.36144
Argentina,ARG,2015,5.77611
Argentina,ARG,2016,5.54549
Argentina,ARG,2017,5.46223
Argentina,ARG,2018,
Argentina,ARG,2019,
Argentina,ARG,2020,
Armenia,ARM,2000,2.77273
Armenia,ARM,2001,2.46944
Armenia,ARM,2002,2.13504
Armenia,ARM,2003,2.14504
Armenia,ARM,2004,2.48673
Armenia,ARM,2005,2.71203
Armenia,ARM,2006,2.71577
Armenia,ARM,2007,3.01894
Armenia,ARM,2008,3.17273
Armenia,ARM,2009,3.84079
Armenia,ARM,2010,3.249
Armenia,ARM,2011,3.14385
Armenia,ARM,2012,2.77248
Armenia,ARM,2013,2.65018
Armenia,ARM,2014,2.24724
Armenia,ARM,2015,2.80591
Armenia,ARM,2016,2.75812
Armenia,ARM,2017,2.70759
Armenia,ARM,2018,
Armenia,ARM,2019,
Armenia,ARM,2020,
Australia,AUS,2000,4.89147
Australia,AUS,2001,
Australia,AUS,2002,
Australia,AUS,2003,
Australia,AUS,2004,
Australia,AUS,2005,4.9103
Australia,AUS,2006,4.7502
Australia,AUS,2007,4.66089
Australia,AUS,2008,4.63776
Australia,AUS,2009,5.08582
Australia,AUS,2010,5.55006
Australia,AUS,2011,5.07451
Australia,AUS,2012,4.869
Australia,AUS,2013,5.22974
