Country,ISO3,Year,average_schooling
Argentina,ARG,2000,8.802
Argentina,ARG,2001,8.87
Argentina,ARG,2002,9.395
Argentina,ARG,2003,9.92
Argentina,ARG,2004,10.01
Argentina,ARG,2005,10.099999
Argentina,ARG,2006,10.19
Argentina,ARG,2007,10.299999
Argentina,ARG,2008,10.41
Argentina,ARG,2009,10.54
Argentina,ARG,2010,10.6
Argentina,ARG,2011,10.7
Argentina,ARG,2012,10.79
Argentina,ARG,2013,10.89
Argentina,ARG,2014,10.91
Argentina,ARG,2015,10.92
Argentina,ARG,2016,10.93
Argentina,ARG,2017,11.015
Argentina,ARG,2018,11.1
Argentina,ARG,2019,11.12
Argentina,ARG,2020,11.14
Argentina,ARG,2021,11.184582
Argentina,ARG,2022,11.184582
Armenia,ARM,2000,10.4919405
Armenia,ARM,2001,10.49
Armenia,ARM,2002,10.559999
Armenia,ARM,2003,10.63
Armenia,ARM,2004,10.7
Armenia,ARM,2005,10.7699995
Armenia,ARM,2006,10.84
Armenia,ARM,2007,10.91
Armenia,ARM,2008,10.98
Armenia,ARM,2009,11.049999
Armenia,ARM,2010,11.12
Armenia,ARM,2011,11.19
Armenia,ARM,2012,11.285
Armenia,ARM,2013,11.38
Armenia,ARM,2014,11.474999
Armenia,ARM,2015,11.57
Armenia,ARM,2016,11.68974
Armenia,ARM,2017,11.19
Armenia,ARM,2018,11.236667
Armenia,ARM,2019,11.283333
Armenia,ARM,2020,11.33
Armenia,ARM,2021,11.344978
Armenia,ARM,2022,11.344978
Australia,AUS,2000,11.285493
Australia,AUS,2001,11.3416195
Australia,AUS,2002,11.397747
Australia,AUS,2003,11.453874
Australia,AUS,2004,11.51
Australia,AUS,2005,11.55
Australia,AUS,2006,11.64
Australia,AUS,2007,11.71
Australia,AUS,2008,11.94
Australia,AUS,2009,11.99
Australia,AUS,2010,12.03
Australia,AUS,2011,12.12
Australia,AUS,2012,12.3
Australia,AUS,2013,12.02
Australia,AUS,2014,12.17
Australia,AUS,2015,12.25
Australia,AUS,2016,12.35
Australia,AUS,2017,12.32
Australia,AUS,2018,12.46
Australia,AUS,2019,12.56
Australia,AUS,2020,12.64
Australia,AUS,2021,12.78
Australia,AUS,2022,12.87
Bangladesh,BGD,2000,4.283905
Bangladesh,BGD,2001,4.4
Bangladesh,BGD,2002,4.48
Bangladesh,BGD,2003,4.56
Bangladesh,BGD,2004,4.64
Bangladesh,BGD,2005,4.72
Bangladesh,BGD,2006,4.7999997
Bangladesh,BGD,2007,4.88
Bangladesh,BGD,2008,4.96
Bangladesh,BGD,2009,5.04
Bangladesh,BGD,2010,5.12
Bangladesh,BGD,2011,5.2
Bangladesh,BGD,2012,5.3
Bangladesh,BGD,2013,5.06
Bangladesh,BGD,2014,5.19
Bangladesh,BGD,2015,5.99
Bangladesh,BGD,2016,6.11
Bangladesh,BGD,2017,6.27
Bangladesh,BGD,2018,6.39
Bangladesh,BGD,2019,6.55
Bangladesh,BGD,2020,7.1
Bangladesh,BGD,2021,6.79
Bangladesh,BGD,2022,6.79
Brazil,BRA,2000,5.272178
Brazil,BRA,2001,5.449134
Brazil,BRA,2002,5.626089
Brazil,BRA,2003,5.803045
