Country,ISO3,Year,Dependency_Ratio
Argentina,ARG,2000,60.8399424011737
Argentina,ARG,2001,60.442088771688
Argentina,ARG,2002,60.0100181534326
Argentina,ARG,2003,59.5157720560259
Argentina,ARG,2004,58.9908808603745
Argentina,ARG,2005,58.4885317167095
Argentina,ARG,2006,58.0003526705021
Argentina,ARG,2007,57.5050434620378
Argentina,ARG,2008,57.0741876732807
Argentina,ARG,2009,56.735685768345
Argentina,ARG,2010,56.452142111234
Argentina,ARG,2011,56.2739537637124
Argentina,ARG,2012,56.1467747951315
Argentina,ARG,2013,56.0487044709811
Argentina,ARG,2014,56.0256427923844
Argentina,ARG,2015,56.0522891497333
Argentina,ARG,2016,56.0461721346243
Argentina,ARG,2017,55.9728015245357
Argentina,ARG,2018,55.8529254060554
Argentina,ARG,2019,55.5931801951266
Argentina,ARG,2020,55.0207968902513
Argentina,ARG,2021,54.2195244410156
Argentina,ARG,2022,53.3385463867822
Argentina,ARG,2023,52.4243366823125
Argentina,ARG,2024,51.5609570038159
Argentina,ARG,2025,50.7162339547915
Argentina,ARG,2026,49.8602585107608
Argentina,ARG,2027,49.075084344871
Argentina,ARG,2028,48.3257114757144
Argentina,ARG,2029,47.5006681295913
Argentina,ARG,2030,46.6426313678592
Argentina,ARG,2031,45.8712738988723
Argentina,ARG,2032,45.2389968775704
Argentina,ARG,2033,44.7615488369947
Argentina,ARG,2034,44.5259249865478
Argentina,ARG,2035,44.6605133997741
Argentina,ARG,2036,45.0479228531618
Argentina,ARG,2037,45.5644259996581
Argentina,ARG,2038,46.1846327940986
Argentina,ARG,2039,46.8374848252188
Argentina,ARG,2040,47.5339512951077
Argentina,ARG,2041,48.2708138983299
Argentina,ARG,2042,49.048093231557
Argentina,ARG,2043,49.8514736064629
Argentina,ARG,2044,50.6562701052789
Argentina,ARG,2045,51.4428695350822
Argentina,ARG,2046,52.1976277798267
Argentina,ARG,2047,52.9139306902626
Argentina,ARG,2048,53.5864366229548
Argentina,ARG,2049,54.2252147218287
