Country,ISO3,Year,test_scores
Argentina,ARG,2010,408.97324
Argentina,ARG,2017,424.0
Argentina,ARG,2018,424.0808
Argentina,ARG,2020,408.17264
Armenia,ARM,2017,443.0
Armenia,ARM,2018,442.96945
Armenia,ARM,2020,442.96945
Australia,AUS,2010,536.33154
Australia,AUS,2017,524.0
Australia,AUS,2018,524.26514
Australia,AUS,2020,515.68536
Bangladesh,BGD,2017,368.0
Bangladesh,BGD,2018,368.31528
Bangladesh,BGD,2020,368.31528
Brazil,BRA,2010,414.28217
Brazil,BRA,2017,408.0
Brazil,BRA,2018,408.0994
Brazil,BRA,2020,413.24475
Canada,CAN,2010,544.3091
Canada,CAN,2017,537.0
Canada,CAN,2018,536.7555
Canada,CAN,2020,533.998
Chile,CHL,2010,453.89014
Chile,CHL,2017,466.0
Chile,CHL,2018,465.74442
Chile,CHL,2020,452.21823
China,CHN,2017,456.0
China,CHN,2018,441.0
China,CHN,2020,441.0
Cyprus,CYP,2010,458.5503
Cyprus,CYP,2017,502.0
Cyprus,CYP,2018,502.16217
Cyprus,CYP,2020,502.16217
Czechia,CZE,2010,507.1813
Czechia,CZE,2017,522.0
Czechia,CZE,2018,522.3244
Czechia,CZE,2020,512.2216
Ecuador,ECU,2010,373.4951
Ecuador,ECU,2017,420.0
Ecuador,ECU,2018,420.14856
Ecuador,ECU,2020,420.14856
Egypt,EGY,2010,399.3997
Egypt,EGY,2017,356.0
Egypt,EGY,2018,355.9865
Egypt,EGY,2020,355.9865
Ethiopia,ETH,2017,359.0
Ethiopia,ETH,2018,359.3747
Ethiopia,ETH,2020,348.19904
Germany,DEU,2010,527.5142
Germany,DEU,2017,528.0
Germany,DEU,2018,528.15344
Germany,DEU,2020,517.28143
Greece,GRC,2010,488.7184
Greece,GRC,2017,474.0
Greece,GRC,2018,473.75497
Greece,GRC,2020,468.63623
Guatemala,GTM,2010,369.49225
Guatemala,GTM,2017,405.0
Guatemala,GTM,2018,405.25757
Guatemala,GTM,2020,405.25757
India,IND,2017,355.0
India,IND,2018,399.0
India,IND,2020,399.0
Indonesia,IDN,2010,397.8539
Indonesia,IDN,2017,403.0
Indonesia,IDN,2018,402.90552
Indonesia,IDN,2020,394.9151
Iran,IRN,2010,450.3042
Iran,IRN,2017,432.0
Iran,IRN,2018,432.10822
Iran,IRN,2020,432.10822
Ireland,IRL,2010,513.6354
Ireland,IRL,2017,538.0
Ireland,IRL,2018,537.7295
Ireland,IRL,2020,521.32855
Japan,JPN,2010,547.3712
Japan,JPN,2017,563.0
Japan,JPN,2018,563.3581
Japan,JPN,2020,537.72345
Jordan,JOR,2010,415.8289
Jordan,JOR,2017,409.0
Jordan,JOR,2018,409.42572
Jordan,JOR,2020,429.95407
Kazakhstan,KAZ,2010,412.07825
Kazakhstan,KAZ,2017,537.0
Kazakhstan,KAZ,2018,537.31934
Kazakhstan,KAZ,2020,416.15463
Kenya,KEN,2010,422.052
Kenya,KEN,2017,455.0
Kenya,KEN,2018,454.9584
Kenya,KEN,2020,454.9584
Kyrgyzstan,KGZ,2017,420.0
Kyrgyzstan,KGZ,2018,420.08652
Kyrgyzstan,KGZ,2020,420.08652
Lebanon,LBN,2010,427.67188
Lebanon,LBN,2017,405.0
Lebanon,LBN,2018,404.93033
Lebanon,LBN,2020,389.88904
Malaysia,MYS,2010,427.31702
Malaysia,MYS,2017,468.0
Malaysia,MYS,2018,468.06763
Malaysia,MYS,2020,445.67532
Mexico,MEX,2010,433.9057
Mexico,MEX,2017,430.0
Mexico,MEX,2018,429.5043
Mexico,MEX,2020,430.06512
Mongolia,MNG,2017,435.0
Mongolia,MNG,2018,434.61868
Mongolia,MNG,2020,434.61868
Morocco,MAR,2010,373.51624
Morocco,MAR,2017,367.0
Morocco,MAR,2018,367.3241
Morocco,MAR,2020,380.4052
Myanmar,MMR,2017,425.0
Myanmar,MMR,2018,424.6313
Myanmar,MMR,2020,424.6313
Netherlands,NLD,2010,536.4178
Netherlands,NLD,2017,530.0
Netherlands,NLD,2018,529.6234
Netherlands,NLD,2020,519.63464
New Zealand,NZL,2010,541.71967
New Zealand,NZL,2017,517.0
New Zealand,NZL,2018,517.16144
New Zealand,NZL,2020,519.7484
Nicaragua,NIC,2017,392.0
Nicaragua,NIC,2018,391.99045
Nicaragua,NIC,2020,391.99045
Nigeria,NGA,2017,325.0
Nigeria,NGA,2018,309.02496
Nigeria,NGA,2020,309.02496
Pakistan,PAK,2017,339.0
Pakistan,PAK,2018,338.65656
Pakistan,PAK,2020,338.65656
Peru,PER,2010,380.38602
Peru,PER,2017,407.0
Peru,PER,2018,406.75024
