ISO3,Year,Health_Expenditure,Education_Expenditure,Dependency_Ratio,Dependency_Ratio_Old,Dependency_Ratio_Young,Life_Expectancy,Mortality_Rate,average_schooling,learning_scores,GDP_percapita,trade_gdp,gov_consumption_gdp,Population,income_level,Region
ARG,2022,9.86305332,4.80521011352539,53.3385463867822,18.4528820822776,34.8856643045046,75.806,8.3,11.184582,408.17264,13935.6811110049,31.5477080051071,15.8356571842994,45407904.0,Upper middle income,Latin America & Caribbean
ARG,2021,10.03832245,4.64117002487183,54.2195244410156,18.3808404939187,35.8386839470968,73.948,8.5,11.184582,408.17264,10738.0179223384,33.078689567466,15.9158179423023,45312281.0,Upper middle income,Latin America & Caribbean
ARG,2020,10.45030594,5.27689981460571,55.0207968902513,18.2822768577117,36.7385200325396,75.878,8.7,11.14,408.17264,8535.59938004389,30.203698807416,16.8730073837365,45191965.0,Upper middle income,Latin America & Caribbean
ARG,2019,10.1555109,4.7716498374939,55.5931801951266,18.0994378665041,37.4937423286225,76.847,8.9,11.12,424.0808,9955.97478680428,32.6306150458499,16.4432415862976,44973465.0,Upper middle income,Latin America & Caribbean
ARG,2018,10.29146862,4.87773990631104,55.8529254060554,17.8664360458422,37.9864893602132,76.77,9.2,11.1,424.0808,11752.7998922979,30.7625359549926,15.8050971558947,44654882.0,Upper middle income,Latin America & Caribbean
ARG,2017,10.23174763,5.45431995391846,55.9728015245357,17.6360406247971,38.3367608997386,76.543,9.4,11.015,424.0,14532.5009308511,25.2896011376779,17.6968939223042,44288894.0,Upper middle income,Latin America & Caribbean
ARG,2016,9.85558891,5.54548978805542,56.0461721346243,17.428506034874,38.6176660997503,76.105,9.7,10.93,408.97324,12699.9623137756,26.0938878488799,17.6545781863509,43900313.0,Upper middle income,Latin America & Caribbean
ARG,2015,10.22933674,5.77611017227173,56.0522891497333,17.2149420931919,38.8373470565414,76.6,10.0,10.92,408.97324,13679.6264980954,22.4862260889792,18.098379759087,43477012.0,Upper middle income,Latin America & Caribbean
ARG,2014,9.67129993,5.36144018173218,56.0256427923844,16.9976536718042,39.0279891205802,76.268,10.4,10.91,408.97324,12233.1444119186,28.4067936452275,16.9498757371062,43024071.0,Upper middle income,Latin America & Caribbean
ARG,2013,9.78097916,5.43661022186279,56.0487044709811,16.8020097973001,39.246694673681,75.829,10.9,10.89,408.97324,12963.675773326,29.3339290021037,16.8062377968797,42582455.0,Upper middle income,Latin America & Caribbean
ARG,2012,9.82726669,5.34582996368408,56.1467747951315,16.6176610722898,39.5291137228417,75.802,11.4,10.79,408.97324,12949.717486654,30.5265423717108,16.6454378106252,42161721.0,Upper middle income,Latin America & Caribbean
ARG,2011,9.41819859,5.29062986373901,56.2739537637124,16.4339146497796,39.8400391139328,76.1,11.9,10.7,408.97324,12704.2831819684,35.2061549999644,15.6889565165983,41730660.0,Upper middle income,Latin America & Caribbean
ARG,2010,9.44546413,5.01971006393433,56.452142111234,16.2743145548326,40.1778275564014,75.68,12.4,10.6,408.97324,10260.1313108254,34.9710132635696,15.1637178886417,41288694.0,Upper middle income,Latin America & Caribbean
ARG,2009,9.45599556,5.53105020523071,56.735685768345,16.1379071006065,40.5977786677385,75.577,12.8,10.54,408.97324,8150.23527028221,34.0571269054879,15.903896746884,40854831.0,Upper middle income,Latin America & Caribbean
ARG,2008,8.1826973,4.84440994262695,57.0741876732807,16.0118370960437,41.062350577237,75.428,13.2,10.41,408.97324,8944.1102657357,40.4026733790382,13.6335132595631,40424148.0,Upper middle income,Latin America & Caribbean
ARG,2007,7.83455086,4.46260023117065,57.5050434620378,15.93391967577,41.5711237862678,74.783,13.6,10.299999,408.97324,7185.25155147027,40.945170618571,12.9893238963619,40016763.0,Upper middle income,Latin America & Caribbean
ARG,2006,7.64032793,4.12821006774902,58.0003526705021,15.8706830163712,42.1296696541309,75.279,14.0,10.19,408.97324,5869.38028970204,40.4334798719151,12.4294153726307,39622115.0,Upper middle income,Latin America & Caribbean
ARG,2005,7.61078882,3.86000990867615,58.4885317167095,15.7937377274489,42.6947939892607,75.231,14.4,10.099999,408.97324,5067.65342293276,40.5512709706238,12.1418612359575,39216789.0,Upper middle income,Latin America & Caribbean
ARG,2004,7.22868252,3.48652005195618,58.9908808603745,15.7354699936422,43.2554108667324,74.871,14.9,10.01,408.97324,4242.02099089422,40.692646108947,11.114636067696,38815916.0,Upper middle income,Latin America & Caribbean
ARG,2003,6.89451647,3.53504991531372,59.5157720560259,15.7037442216745,43.8120278343514,74.307,15.4,9.92,408.97324,3320.47775133903,40.6447480311085,11.4380567929249,38424282.0,Upper middle income,Latin America & Caribbean
ARG,2002,7.3933115,4.01734018325806,60.0100181534326,15.6661577646685,44.3438603887641,74.312,15.8,9.395,408.97324,2569.69963519124,41.7527243585642,12.235247296692,38029349.0,Upper middle income,Latin America & Caribbean
ARG,2001,8.37179852,4.833740234375,60.442088771688,15.6034995940423,44.8385891776457,74.154,16.2,8.87,408.97324,7141.47507662826,21.8522554515453,14.1562743129569,37624825.0,Upper middle income,Latin America & Caribbean
ARG,2000,8.22001076,4.58030986785889,60.8399424011737,15.536780754278,45.3031616468956,73.91,16.7,8.802,408.97324,7637.01489203628,22.6224447777343,13.7841913064131,37213984.0,Upper middle income,Latin America & Caribbean
ARM,2022,9.96212864,2.4918999671936,48.7601980797249,19.2126210693179,29.547577010407,74.7658536585366,9.3,11.344978,442.96945,6571.97445545099,101.41077826094,11.6764818949578,2969200.0,Upper middle income,Europe & Central Asia
ARM,2021,12.32268524,2.76784992218018,48.4759951441955,18.7082798282625,29.767715315933,72.2780487804878,9.7,11.344978,442.96945,4685.17997128509,79.6698888228399,13.649850256969,2962300.0,Upper middle income,Europe & Central Asia
ARM,2020,12.24056244,2.70555996894836,48.1754870679756,18.2897095679418,29.8857775000338,73.3756097560976,10.2,11.33,442.96945,4268.68093304583,69.4888075396076,14.9686182373692,2961500.0,Upper middle income,Europe & Central Asia
