"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.4653130287648","53.4412955465587","49.854121079504","50.3186850050319","51.9455252918288","49.3872037405919","49.5563912476603","52.5819403707606","54.0055097623368","51.7617420772831","52.9032667358042","55.0121909262593","56.688680815977","54.7001835719061","57.24423521588","60.2800266579295","62.410732589996","60.7376106628546","58.7754981669521","58.3958630969003","55.3332224653273","54.5363563288531","55.1341101930684","55.235259712467","53.9373330174649","65.4217903749616","60.9156039539659","55.618324639333","52.0872345412259","",
"Africa Eastern and Southern","AFE","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","54.8423108458449","56.8795241874968","57.6224140990666","51.795792223571","55.4449535586776","60.3917333148527","60.8026736635034","61.8845172859563","66.1996905249255","66.8465286636369","65.1083035367642","64.2520728245056","68.0611835670611","69.0169696473692","67.3653946510868","68.5390393742834","70.2941335285773","69.789307703671","69.2547048426958","67.3613538274791","64.179004250206","63.8310841831669","63.6844218849964","62.579173957387","61.0630395172876","59.9045819996996","58.520657377188","62.5234313584655","61.4543720394874","61.1746275684667","63.8544448906785","63.2541448998565","64.2908119543036","66.9497063955338","67.5836454178711","64.0862995823675","67.3550432166211","67.0472138064266","66.4739557056194","65.1326881578506","65.8419138581476","69.027043278652","",
"Afghanistan","AFG","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.3033474357087","88.4783227246134","97.6114990872194","97.3815357619115","",
"Africa Western and Central","AFW","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.5078488393937","42.953180730507","41.6134919654742","31.952809624771","29.0469389956012","30.9809870893578","28.7959860028513","42.2120863687553","35.7977529753036","33.9823989124023","35.4096253972409","37.5528419695818","44.466746007483","52.7439965230833","56.0257988654082","57.1824979755502","56.3614656336091","49.9369131903805","54.1746112992015","44.8531300935126","46.5555022118276","56.3600178190649","",
"Albania","ALB","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","58.1037695512998","56.8512874689961","60.0853697026323","59.8407163193851","62.9594960077711","62.3247134398947","62.420546159664","64.2938983093612","66.8206788710954","64.5058552920656","62.6794754637386","94.2245755084898","165.503835345009","123.853231286866","101.18271948419","91.5893478510601","94.1374241459031","97.9238600282503","94.6163004614809","86.5371555972353","82.7347839879968","78.2095451407315","80.0346833875517","80.3304329991826","77.2093902849024","76.9454488704404","77.6230757331836","81.766914061529","83.0937339221006","80.8194059807542","78.1093369472712","78.2994347328667","77.9668805254458","80.0293736616266","80.7873547360613","80.6947592112428","80.9610609047735","79.6080307668472","74.4741364751532","75.5463564312303","74.5535127118034","71.6946073277172","71.3571986408579","70.2063374572408","",
"Andorra","AND","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","63.100719847686","60.1334066186402","57.5084087644503","50.0136774033843","32.887351836774","40.1341219231085","37.8420395345351","43.3607586398748","46.5472680090396","42.1938096768134","37.473475640159","40.5875869984913","48.7208214861888","53.5480864594254","56.4105531542957","58.3792670996205","63.4620706114434","62.0176375170362","63.3372818382147","67.6692909590258","59.7914339107159","62.8193179137204","58.6358710140823","62.6843082720654","61.6513471582131","60.5141223722247","58.3027497540377","57.283979650008","60.3679158200054","55.3362293930256","48.7761337116994","50.3356746632875","50.9066370158261","48.7400262892438","46.2310205439565","42.3552118823695","41.4751015590989","43.1381868976202","41.355482196846","48.7197423882344","43.523468133003","39.8819743339103","40.1270324714268","41.3143072625687","44.4188389884411","51.7124939870598","53.3442702181313","50.9851809989083","47.0148970539757","48.7579295070289","54.6482880234945","50.8991357979915","46.4861387957693","49.5447999360425","",
"United Arab Emirates","ARE","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1295000948837","61.3726956607984","58.5738706526928","60.7617941000396","56.3427885689804","56.0267595495039","60.0977771677909","58.3828486018288","52.287607099448","40.7768909666452","37.3161379245702","31.3038122728963","32.7403865523499","35.8393383113254","41.4725818134229","41.9026751745399","40.8849550383444","37.8682130173462","39.1921113354728","46.3118069684577","40.8648511670721","42.1654758880289","45.6129353590325","",
"Argentina","ARG","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","69.1561268629598","62.3110847615408","67.0539686143643","71.7612560852188","68.6716633493577","67.4075437566741","66.9898919677513","66.5471525803707","67.3994108388648","66.5082269233476","64.9516781183547","66.3414751155515","66.3968715517589","65.663698601238","63.972873286212","58.1245533888674","56.5967065040283","57.753472832318","58.140784019256","62.9540290149115","","","","","","","","75.4331977559006","73.7182834812987","73.5117362007716","77.1393728761382","80.4442259603692","81.8565265586644","69.2059625707668","69.9219049875699","68.5607887401454","68.5237276536172","69.3263709498428","69.0533562246978","70.1422650719695","69.3320118049111","68.9119843094492","61.898423859492","63.1978064135118","64.3315008496063","63.0293921464661","63.2701880412596","62.5312329074365","63.074583476516","62.9781476872291","64.2341147639994","64.2203212799743","64.9033991071491","65.9875655300738","65.3830797250888","65.9058373448263","65.7218914651221","66.7395733212516","69.4701822877233","66.1275863051046","65.7047068081581","62.9531640399486","65.4144793169649","65.9491811031337","",
"Armenia","ARM","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.6185648976347","57.2844773497302","94.1422998807183","93.3925341538637","94.2875430265998","106.127648081352","100.31109338046","103.258469022865","99.8579643162063","96.0446664618749","102.16608846971","98.412469741728","93.7004709895993","87.6117561110514","86.7635992099145","79.4241147624022","76.0093988765411","75.3569081779049","75.2921814740741","84.5473956209649","86.2568860489011","88.0051052085027","85.8798294276954","86.7885052856041","85.5471855421903","77.9158468542082","76.3036579586322","80.0299930273975","79.8008893150567","83.4394618953327","75.3263825282527","71.2432823594594","66.9057161005981","65.3685190425439","",
"American Samoa","ASM","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.9375","63.3587786259542","70.1375245579568","73.4","76.0649087221095","74.1312741312741","72.6785714285714","58.962962962963","69.9825479930192","72.1052631578947","65.625","69.9059561128527","72.0062208398134","68.3506686478455","69.0014903129657","76.9607843137255","76.2128325508607","78.6707882534776","73.9251040221914","80.2666666666667","71.2973593570609","","",
"Antigua and Barbuda","ATG","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
