



Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
Afghanistan,AFG,"Age dependency ratio, young",SP.POP.DPND.YG,75.9493703863132,76.1911292021901,76.4376325923089,76.8080114969298,77.3435538691874,78.0763234831312,78.9329589279277,79.7800089002556,80.6177941986019,81.4480957456495,82.2553064306771,83.0330427466682,83.7937040580158,84.5406421699309,85.2832549800596,86.0134619369295,86.7249631360274,87.4276885886367,88.1243157088636,88.8259156069425,89.5575407310677,90.2935428101997,90.9982526552229,91.5936145784776,92.158178865358,92.7325277223042,93.2705725878936,93.7511325142155,94.2119844302162,94.6648881283405,95.1866002536073,95.8422017261386,96.6212234099997,97.4576927594942,98.4206505369843,99.4812247587544,100.579512433176,101.737403838947,102.893558734975,103.963881228579,104.845273765636,105.464293875656,105.768162057,105.784720870845,105.514677301786,104.968217894659,104.143637375572,103.00870360712,101.62258744949,100.102302423412,98.458695491197,96.7801632564467,95.1026091413099,93.4095196912327,91.7194238410017,90.0267905683716,88.3463553934864,86.7795924086167,85.3556370774652,84.0326903183033,82.8086718663843,81.7057602287166,80.6063615512807,79.4653966265569,78.3884288293884,77.3645129250492,76.2984115065165,75.2074113416987,74.1197315185741,72.9565356092546,71.7265201876421,70.5055658985984,69.3178154666726,68.1523954830669,67.04370658927,65.9849001703117,64.9314926170309,63.867883640355,62.7733805151309,61.6324223615769,60.4822291222239,59.3894534413739,58.3659956163413,57.3658936369789,56.4023325245465,55.4902381556116,54.5881515268561,53.7169678658722,52.8879084221802,52.0605396285704,51.2692753770581
Africa Eastern and Southern,AFE,"Age dependency ratio, young",SP.POP.DPND.YG,82.9699983057017,83.3101334514775,83.6566133946619,84.0753279898274,84.5056890047797,84.9876270706803,85.5300757377953,86.0415307365271,86.5104999454897,86.9496170353753,87.4137063615271,87.9150406971562,88.4192931622264,88.8508501494856,89.1149212410667,89.2708871237947,89.4607473086145,89.6126827074783,89.6038406750553,89.5930813886248,89.5411770015118,89.4442353994384,89.3388323213794,89.0794615136465,88.7463095513614,88.4358224554276,88.1661976002727,87.9413162282748,87.7218971772488,87.517118891952,87.3087822974099,87.0786400801861,87.0326311117474,86.9243783519515,86.6147573606524,86.5684541149415,86.980152277127,87.2442538961645,86.9252019307165,86.4117125800046,85.914440050819,85.3992516784366,84.9039936730061,84.4561000995744,84.0519049790311,83.7096085754857,83.4014235593312,83.0801581797608,82.7299204809585,82.3634043340087,81.9108257246829,81.3396245677175,80.7386883551592,80.1172767509898,79.4722343562553,78.7445922623468,78.0394559268486,77.2748202308525,76.3764881000771,75.5155543902235,74.6610976436392,73.8284241565364,73.0376537886569,72.2568314141834,71.4978693507113,70.7301339924359,69.9474225402301,69.1985471071737,68.4809341203641,67.7778718456499,67.0749184550809,66.3572048374032,65.6030682012129,64.7972845287716,63.9423507324818,63.0529115060121,62.1429644577164,61.2334935534454,60.3379672691031,59.452096672258,58.5832155429335,57.7365430931145,56.9104723862502,56.1061295301577,55.3246563743881,54.5676100696803,53.8352981955049,53.1282733932499,52.4462688189175,51.7866712991532,51.1497219657972
Africa Western and Central,AFW,"Age dependency ratio, young",SP.POP.DPND.YG,75.2248071679894,75.5498780764364,75.9524254076953,76.5060417168019,77.1838359338388,77.7913846608849,78.3147053213935,78.841647334692,79.3786066323901,79.9324528740582,80.4703688788854,81.0226699404989,81.6012864918111,82.1702950561122,82.7569595045268,83.3765204487943,84.042275350207,84.7191160514314,85.3889547245986,86.0276328094549,86.6408316354031,87.2174005003168,87.6925163362629,88.1654702356347,88.673120271884,89.0924942428239,89.3775063319477,89.5346550125987,89.5522162936521,89.4420545903007,89.2330933919794,88.925085502782,88.4976671435801,87.9878260323597,87.4597867550013,86.9329821213598,86.4493339404466,86.002909943539,85.4937480549833,85.0229587401016,84.704497498711,84.51717858457,84.3762364178722,84.2356877266488,84.1222428390956,84.0757930002119,84.109140526716,84.1599885684962,84.09845807743,83.9483245328073,83.828422738852,83.7083108643158,83.5992100763255,83.4512115199918,83.2491920870338,82.971725725214,82.4946898050314,81.8366496306724,81.0495495748476,80.1387005962267,79.0751210046497,77.9096731305705,76.7004618573782,75.4155134420043,74.1159099664586,72.8460638296779,71.5808825788435,70.3211451734467,69.0854859539293,67.8705993853267,66.6885443345441,65.5768995144418,64.5517606887755,63.6155158011456,62.7636162106403,61.9816025209479,61.2255606687831,60.463706328839,59.6876294052298,58.901393077394,58.118112935829,57.338179926529,56.5655432103647,55.8024452845728,55.0433537573858,54.2860918865357,53.532377771601,52.7824241753406,52.0371277126955,51.2994724955174,50.5714654009524
Albania,ALB,"Age dependency ratio, young",SP.POP.DPND.YG,77.1959674026666,78.8631394342459,79.7175995965708,80.1198037029256,80.2195812655801,80.2400242588534,80.2628854386592,80.2319816822048,80.0247705726346,79.469347426054,78.5507712647194,77.3845403776261,76.0101505924204,74.4513629555667,72.7303165223524,70.8502899259518,68.8421616069556,66.7834865093014,64.9057606421304,63.3032684831048,61.9113280473755,60.687864055049,59.5222902443545,58.3538819963212,57.2403834803045,56.3241700924846,55.4692607907492,54.5149122115828,53.7935067947762,53.3266925876438,52.796192276851,52.2169566874565,51.7054525359204,51.2336636107053,50.7433502545179,50.2918016482884,49.8472725949099,49.2785155480255,48.5756295923174,47.7972715137046,46.971420826077,45.8305761019083,44.3318882369773,42.7898868840248,41.2539384026676,39.6964336121129,38.1468675179264,36.6363127862088,35.1567218625377,33.6744107683943,32.1977047307896,30.8442438060681,29.7544075351625,28.9449386512364,28.3235465457326,27.7427411896417,27.1729444029478,26.7256359855283,26.3793470932827,26.0916289855013,25.8775791866507,25.780479937153,25.7047367530231,25.5670481589374,25.4252725317573,25.248256943265,24.9963775598102,24.6202285158259,24.1212983575277,23.5463094750661,22.986547727802,22.4952121670691,22.0661483678222,21.7053158432309,21.3808395070367,21.0578921182182,20.724842808526,20.3746783311441,20.0186945210673,19.6629350825946,19.318643830175,18.9929738597362,18.6874709543597,18.4059891575596,18.1544439993769,17.937254720025,17.7583814174115,17.6233013843596,17.5340369085449,17.4901021392687,17.4900271549756
Algeria,DZA,"Age dependency ratio, young",SP.POP.DPND.YG,88.6951933469949,90.4416884755387,91.9791524295735,93.6023038804183,94.9723805546989,95.8063590545487,96.220333912416,96.3256926023291,96.050043355541,95.5691056420361,95.1151844476239,94.7249159970112,94.3147335538733,93.8140457019664,93.1487489070294,93.5709614686667,95.3013844536426,95.770907900145,94.7563455788815,93.611692426929,92.4151947481194,91.170098727533,89.8662578664293,88.4958982989628,87.0508251333668,85.5364746643704,83.9134354868258,82.2065844902845,80.4126512914671,78.5515689238688,76.6352393982423,74.8267459839903,73.5602324919572,72.311245366873,70.5202047056834,68.3715635029882,65.9551449332007,63.355246832014,60.4269877533971,57.3304050719607,54.4414245954341,51.7890667173098,49.3448118110972,47.1578052840833,45.2904251637566,43.7608525583864,42.5650358910563,41.663688331311,41.0397412347223,40.6878949461069,40.5897563973294,40.7320482320249,41.1564116284906,41.9553138949383,43.0309405623292,44.1604500502379,45.263681679493,46.3646583930308,47.3775623398549,48.185625546125,48.7524183899059,49.0207030327762,48.9761610388956,48.6463963016617,48.0735308990543,47.2991565306838,46.3601443010743,45.2283392005348,43.9497608670853,42.5706561822584,41.1161151905677,39.6700693043175,38.2536175693688,36.9270334578576,35.7226416527605,34.6458842461335,33.7336289189181,32.9852686045539,32.3882997130112,31.9381614963585,31.6318892006363,31.4634736439424,31.4198483446455,31.4885367250093,31.6526583884858,31.8896586894342,32.177146500839,32.4937845899485,32.8147194289911,33.1146630380514,33.3756146254163
American Samoa,ASM,"Age dependency ratio, young",SP.POP.DPND.YG,102.019993816345,100.129224652087,98.3662940670679,97.2383319524993,96.6219219486177,96.3698924731183,96.2397865599466,96.0372017792155,95.6130043086565,94.8257575757576,93.2824875330009,91.1997152011392,89.1852570320078,87.3421141506248,85.4987481881671,83.4379403099782,81.1696777798473,78.7928025516038,76.3888888888889,73.9467723669309,72.0988734551023,71.0000524411348,70.0933641200683,69.2119055633024,68.3921821701853,67.6601954627869,67.0390349573122,66.5114569292979,66.0064450208284,65.5126749905411,65.4772818951923,65.9380039419459,66.4232807947485,66.8295368522469,67.170626349892,67.465889521791,67.6754542794916,67.7450229709035,67.5880419470966,67.1570283467952,66.5515779271912,65.8622453585292,65.1202543033647,64.3470713238155,63.4978034129285,62.5178997613365,61.3902947305746,60.153814175847,58.9256614618826,57.8553246907003,56.4768063306464,54.7172032252369,53.2338747645951,52.1378128416512,51.2779315064417,50.5236623353239,49.7561418920966,48.9856491539427,48.2447186910396,47.5761274371733,46.3899710946337,44.7512767164744,43.2929164007658,42.3668945850481,41.5829848878939,40.4657835908044,39.3145638287086,38.1402032228266,36.9814193280509,35.8697934896745,34.8001557687542,33.7711136558832,32.8077535078837,31.9251571407689,31.1417279208067,30.7194675043004,30.6356847731322,30.6702021366536,30.853758329112,31.1654937929944,31.5871868978805,32.0609443109138,32.5610209391649,33.0600292825769,33.5577859653581,34.0255180681624,34.4383455071963,34.7629009762901,34.9964893803756,35.1357316265725,35.1511926930921
Andorra,AND,"Age dependency ratio, young",SP.POP.DPND.YG,40.9561752988048,41.5341578327444,42.1217913708356,42.664803759685,43.1618867030102,43.4874182463142,44.2934218717576,45.7394332140439,46.7618790981766,46.996083659695,46.5750250984632,45.6711505437894,44.4363395225464,43.0329129498616,41.5518325804792,40.0724908053942,38.7140220481868,37.429696287964,36.1787719375801,34.8630767942383,33.2855835422387,31.4470891449363,30.5751619792232,30.416868637906,29.7789121283437,28.5641628786675,27.6047195850648,27.0048576165683,26.0076641212833,25.3358820316767,24.5805369127517,23.2359658612814,22.2991036326466,21.6626135927301,21.2499738892486,21.2456776766584,21.197028712513,21.0106551323979,20.8686374191929,20.9915523586484,21.2237938873453,21.2393676523354,21.1809635722679,20.8562348849759,20.4112930046931,20.4369249245006,20.4338722411012,20.0959168720442,19.8401804098441,19.828163538655,20.7058500882741,21.5753669889008,21.6139791183295,21.6792165881524,21.5918552721217,21.3481627372608,20.9963384081711,20.4783230468162,19.6698382317758,18.9312591362726,18.5127655775754,18.0213385063046,17.4860451409354,16.9322572923435,16.4693746406467,16.1770880569691,15.9111809654388,15.7231128924516,15.6274611659433,15.5895137648684,15.5565353048905,15.499316005472,15.4746895563116,15.5835300288487,15.8103607115017,16.1374284226965,16.6301689842695,17.0102901296482,17.1451746774315,17.2574930575505,17.3626116918764,17.4762658227848,17.6002571727075,17.7043556390517,17.7831735358818,17.8368121442125,17.8813051297422,17.9259033654578,17.9267565837399,17.8795805665482,17.8089315997739
Angola,AGO,"Age dependency ratio, young",SP.POP.DPND.YG,74.2602930590146,75.4409711839936,76.7623295486117,78.2854818699935,80.125859529114,82.0509470489567,83.862117388293,85.5338770978291,87.013467727787,88.2974816713729,89.7646283863528,90.8650211616448,90.7364413488823,89.9291418961715,89.0354670645357,88.176393774696,87.383904125595,86.5534580903555,85.7115188869876,84.98684333816,84.3396590301723,83.8209541621846,83.442311363963,83.1284006877964,82.9483380143538,83.0168260832527,83.3926035965453,84.0028396307763,84.6700016277151,85.3260952071226,85.9613698466046,86.6415186060699,87.2912317569422,87.8960650528087,88.4473643212129,88.7619931774093,88.8621472380561,88.8160199178321,88.6597290025258,88.4716396126743,88.2239311925997,87.9286505684587,87.6230009168337,87.3109168750642,87.0214756042879,86.7899362876079,86.6233362437812,86.5143448569169,86.493130427728,86.5413559760281,86.5916585519503,86.6225444982636,86.6676874920637,86.7305266083009,86.8565683783549,87.008381117172,87.0277260972876,86.9139658453232,86.7347564452696,86.4572799118044,86.1538346240777,85.7930144236442,85.3038192856645,84.7119189906558,84.003421381565,83.1943383605732,82.319245346613,81.3940399291358,80.4239253462889,79.4398547078837,78.4450484866115,77.4420039337256,76.4408954813467,75.4413289476449,74.4507712525983,73.4674933639439,72.4838451448859,71.5019572555302,70.5436377912039,69.6129798927176,68.710547016848,67.8132576041076,66.8992115319034,65.9726778265653,65.0373650864919,64.1225047365967,63.2296451634586,62.3538989853944,61.4946202514151,60.6418043654876,59.7976166924928
Antigua and Barbuda,ATG,"Age dependency ratio, young",SP.POP.DPND.YG,71.4569770052275,71.2744479495268,71.3350377252603,71.5740426451075,73.3774426834898,76.3947173537398,79.0773791144322,81.63189729663,83.9138461538462,85.7099180628592,84.9165210053644,81.8192585573848,78.5215689710564,75.0187503605839,71.3663535439795,67.6066603128329,64.0103606954892,60.8254397834912,57.9369932207896,55.3946680606377,53.0699385240631,50.7819827127323,48.6616970182109,46.8095096876236,45.7140045271135,45.6674009355741,46.0823738042311,46.5173126354518,47.0739337216104,47.8162631268134,48.5911845444657,48.4040092521203,47.3346532668354,46.4489676380144,45.8046865707149,45.2960137281729,44.9325164469966,44.5603051079121,44.0182432287073,43.3324925379409,42.7824870381039,42.2458490527972,41.4623519626094,40.6031715147388,39.6888200776038,38.6341481703659,37.6306748240827,36.7420423448077,35.9628852158267,35.2665525410247,34.3822626338021,33.3777748150123,32.3965370236768,31.4849244200145,30.714650984403,29.9150840462373,29.1101741406605,28.4591072568466,27.8406981062013,27.287697374496,26.8980211223348,26.5862042624704,26.2721677128405,25.8244846496225,25.277903983038,24.8877194574241,24.6457895453102,24.4717883521007,24.4271797517526,24.4720402255066,24.5015161260682,24.5560808833721,24.6456729503245,24.7755471039342,24.9019607843137,24.8754021828276,24.763762049721,24.6212181560374,24.4375149916047,24.2350827089383,24.0398865906308,23.8569232014243,23.6693607402469,23.473587925909,23.2771068521922,23.092654286374,22.9246127823289,22.7710220353968,22.6357760429783,22.5226139149548,22.4295402651399
Arab World,ARB,"Age dependency ratio, young",SP.POP.DPND.YG,81.772812143789,82.5899977726936,83.3114408479312,84.0357752503652,84.6962913927011,85.270379703313,85.7570769424545,86.1109704797472,86.2836886488395,86.3328304571223,86.3719454387289,86.4195109300176,86.4837478023339,86.5778766132958,86.5699654736692,86.5844767619365,86.7034045453574,86.5465703259545,86.0826594171482,85.6030529529943,85.1420659851244,84.701518412537,84.2588149101285,83.7786600481174,83.3061198973134,82.8251077457605,82.3279190743842,81.7820039913997,81.166260781641,80.486295694349,79.7476487257303,78.6869864835179,77.6318338303484,76.5799392005094,75.4762865210204,74.2869518123212,73.0328968557744,71.7059807836643,70.276697548669,68.795810876969,67.3650059260495,65.975827582418,64.5947190022237,63.2405849386088,61.9318472346982,60.6960514504523,59.4337729234532,58.1564112828874,57.1815787640727,56.5046858696394,56.0888080336838,55.7048234541357,55.4344372907958,55.39048778924,55.4487756601457,55.3640784944969,55.2074721281605,55.1054167022654,55.0171677781679,54.7362677071827,54.3211062793375,53.9328725095142,53.1046638466403,52.1784844419542,51.3728199784153,50.6415879297429,49.8858295384402,49.1158613354037,48.3343984658067,47.5667032393411,46.8326153749549,46.158191174711,45.5442469507537,45.0033208434671,44.5421721457132,44.1131340010918,43.7178621240151,43.3534351374354,42.9818035957498,42.5962313855076,42.2184846073092,41.8593361701893,41.514431699027,41.1822662407582,40.8593962190073,40.5425209076562,40.229108834785,39.9156948597783,39.6010645121643,39.2831444928437,38.9628104458889
