Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
Afghanistan,AFG,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,51.9117064523102,51.8302689480874,51.7535185103663,51.6810840599816,51.6124910564341,51.5472885234846,51.4850391510322,51.4258097308575,51.3708523098757,51.3200880533708,51.2722576105654,51.2270192425145,51.1845081905256,51.1453159356239,51.1094442385136,51.0765734712995,51.0464859055436,51.0193050528771,50.9838965617233,50.9269150083625,50.8574442505003,50.784384206482,50.6812111564891,50.560387441562,50.3989733179556,50.2016915945004,50.0621318270032,49.9797810274294,49.9283712006754,49.9122795788611,49.9031767458155,49.8946839820869,49.8849496869976,49.9005365125959,49.9292773017737,49.9575028119046,49.9940326289096,50.032671094024,50.068128932184,50.1052505397283,50.1464556364904,50.1855572480518,50.2251811981383,50.2646389404255,50.3022263432172,50.3375351973069,50.3674939213173,50.3914978129361,50.4137694522846,50.4372917887869,50.460559308117,50.4815078057035,50.5002285010547,50.5173498129698,50.5318849665822,50.5427975910449,50.550449930092,50.5450751052112,50.5255485263481,50.5060912078129,50.4887778101394,50.4656202041119,50.4589928909258,50.4744871162084,50.4895809582425,50.5029717674057,50.5152954568476,50.5266034609638,50.5366682413263,50.5465235124195,50.5565494167976,50.5657612393771,50.573616665207,50.5804983449304,50.5859991708012,50.5900191100243,50.5934439586138,50.5963372148849,50.598303523634,50.6000164147012,50.6017250461618,50.6022674919023,50.6010833751386,50.599106519429,50.5966191933222,50.5933360182345,50.5900501666373,50.5862357424911,50.5814971620327,50.5768245160361,50.5710525187996
Africa Eastern and Southern,AFE,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.518329770907,49.5156103172844,49.5120113452064,49.5070848185544,49.5014844777381,49.494996383459,49.4872882562658,49.4819454101515,49.4797330712437,49.4785589546427,49.4721727818095,49.4674739013175,49.4674110960431,49.4713251894696,49.4766237374406,49.4782296127414,49.4760451283701,49.4692321261683,49.4585079199694,49.4499410422128,49.4715529575179,49.4899742501901,49.4858404906029,49.4901108746132,49.4870535791753,49.4937114227121,49.5139967828645,49.5336157401919,49.5500691593668,49.5575818177117,49.5641322445443,49.5660005877502,49.5191078701051,49.5702901163938,49.533113637622,49.3635567749319,49.2314913836274,49.1493312023114,49.1580673928506,49.1620023213021,49.1689661820018,49.1806764067339,49.1957085906822,49.2147875231563,49.234404960974,49.2534909533201,49.2740120217499,49.294472791534,49.3126783678024,49.3273642075505,49.3422469436832,49.358947037489,49.3743927929491,49.3904321677699,49.4085412072191,49.4342506020873,49.4457405332626,49.4485026997972,49.4598352404643,49.4681899233531,49.4748831417855,49.480584322379,49.4882896959016,49.4971555976701,49.5041301622296,49.5095385834004,49.5147540036652,49.5192255951791,49.5229936696118,49.5262738574458,49.5290428305631,49.5312833117594,49.5330165419821,49.5342630235368,49.5351055001476,49.5355357743607,49.5354942024391,49.5349714635038,49.5340002935029,49.5326541828669,49.53094828846,49.5288802211504,49.5264521571422,49.5236557597674,49.5205352762283,49.5170895057984,49.5133108155741,49.5092684285764,49.5049323491695,49.5003267928506,49.4954422963519
Africa Western and Central,AFW,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.6313160948137,49.6015567433789,49.5770320538905,49.5610806307842,49.5459803379483,49.5325483546476,49.5216017161667,49.5085505605321,49.4950514205029,49.4866175206443,49.4884619761938,49.5003843910393,49.5129157574527,49.5228130516639,49.5309220460846,49.5360941442856,49.5414047472574,49.5470114977996,49.5505167707292,49.5542351210673,49.5621443813457,49.5741829758402,49.5847842201406,49.5934291265128,49.6087606360998,49.6288399710474,49.6466163678742,49.6648633315142,49.6863992600791,49.7098297834005,49.7319226990791,49.75094073631,49.7714415849011,49.7927266568993,49.8102816165378,49.8253739707995,49.8396693496365,49.8523999513751,49.8699512686084,49.8924963677602,49.9137182755776,49.9336736900209,49.9579835169855,49.9867877532016,50.0141522306254,50.0368130909082,50.0558819707389,50.074727264068,50.0992731577663,50.1232442792412,50.1462911791164,50.1753215799815,50.2043888280906,50.2338925117018,50.2555224452429,50.2700213536533,50.2859047391496,50.3011171437594,50.3151850736823,50.3272356826501,50.3364629354239,50.3452387396958,50.3508907379309,50.3533313714076,50.3584299944479,50.3656087414876,50.372129088032,50.3775956168244,50.3821082895833,50.3857668120255,50.388637814806,50.3907918519134,50.3922541793536,50.3931077772808,50.3932939781944,50.3928263324262,50.3917611335229,50.3901272079497,50.3879681770454,50.3852511151408,50.382061409452,50.3783578337522,50.374202267628,50.3696778238924,50.3646728000033,50.3592170711443,50.3533254634702,50.3469775213303,50.3402284958491,50.3330596006855,50.3254992167072
Albania,ALB,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.368470225605,50.3874522454217,50.4223983832387,50.4550925481386,50.4843486789158,50.5095253580192,50.530013409947,50.5435591661725,50.5453053182917,50.5514428445489,50.5733261997076,50.5991072898695,50.6231691730013,50.6442120315481,50.6622066664944,50.6769227886408,50.6885856301788,50.6982197063117,50.7023106565441,50.6916761300596,50.6724754114182,50.6525736512839,50.6269435566388,50.5954983081652,50.5591310231039,50.5179197558952,50.4742114720182,50.4323817230356,50.3916843219515,50.3290113342825,50.2345051779061,50.1264545625696,50.0109824795179,49.8863728234424,49.7538393777471,49.6139867616655,49.4672607695526,49.3125592167597,49.1514367633481,48.988723873681,48.8219908930318,48.7525826380647,48.8182378877959,48.9148314335039,49.0071185655209,49.0940812877358,49.1747270969766,49.2498396400527,49.321734888554,49.3916892904899,49.4591666464644,49.4896452142947,49.4852928037212,49.4829192594649,49.4831855359449,49.4853779300028,49.4893138606133,49.4935034777967,49.4974658208001,49.5030866444137,49.4926798966836,49.4678969524529,49.4505249666856,49.4407742059392,49.4318826978632,49.4209289671904,49.410474063476,49.4009649878846,49.392438580058,49.3851206021004,49.379033903031,49.3744232849763,49.3715807549693,49.3704173889607,49.3709183399792,49.37298197294,49.3770218160026,49.382889888444,49.3907073141054,49.4005932281505,49.412803133883,49.4275715827587,49.4448059644317,49.4645254084792,49.4869717237169,49.5121805995033,49.5400935699834,49.570802613418,49.6043269531665,49.6405160728011,49.6790862819987
Algeria,DZA,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.4673817466763,50.5308205439852,50.7285202575764,50.9592544490048,51.2487260682902,51.5741013891665,51.7263725877912,51.7019104671144,51.6808584841247,51.6618333684576,51.6443601582156,51.6272078971066,51.6090929607893,51.5892706233307,51.5673635884146,51.5850302166705,51.6584263555073,51.6813976122346,51.6455727871647,51.6157708630437,51.5907197944191,51.5720600036294,51.560263538058,51.5581268029681,51.5640700679848,51.5748929143154,51.5849554052411,51.5817818951541,51.5714176984334,51.5582085428156,51.5404158527353,51.5216854349329,51.5157574945734,51.523535408834,51.5324156054241,51.5447174746638,51.5642331005928,51.5929619700263,51.5903752738434,51.5586122022472,51.5310449722305,51.5016634685255,51.470859001688,51.4397458364539,51.4099238924165,51.3784848645016,51.3461445692189,51.3191524335821,51.3009836986926,51.2872887336296,51.2720570298038,51.2539232182985,51.2330472112353,51.2108278999435,51.1882429371946,51.1659819884437,51.1476015319289,51.131182341752,51.1111142479944,51.0890967903693,51.0655227518603,51.0452792948627,51.0294786046429,51.011876774345,50.9980495706569,50.9891038766458,50.9798934724634,50.9703764757557,50.9605810036865,50.950438842697,50.9398292245519,50.9288527468425,50.9175835250081,50.9060354304719,50.8942581332083,50.88233593261,50.8703000345354,50.8581724548787,50.8460290687001,50.8339986365237,50.8221886804143,50.8106032253078,50.7993051972922,50.7884281052954,50.7779752406508,50.7679512904808,50.7583827257276,50.7492576952672,50.7407470386458,50.732822379161,50.7254721289846
American Samoa,ASM,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,52.1806079872839,52.1364626179531,52.0659216827871,51.9985432031321,51.929607903674,51.8926770913441,51.8541537186658,51.8159514137473,51.791988756149,51.7631000227497,51.7538666469326,51.7633385392075,51.7663868547955,51.7740971269825,51.778354978355,51.772711806737,51.7707533629293,51.7938468595393,51.8342128974128,51.8332226123818,51.8192759929636,51.8296858716689,51.8447436264681,51.856855338976,51.8689603907826,51.8898322422259,51.9175786256532,51.9442859859289,51.9660667201651,51.9982296968356,51.9811320754717,51.9025938766133,51.8159016293154,51.7394684902012,51.6760321548427,51.6151846471443,51.559395734153,51.5047275670505,51.4475729208082,51.3778267671739,51.3024360214581,51.2278057245018,51.1645432081457,51.1163770405477,51.071843429899,51.027076673084,50.9862702664349,50.9507600734233,50.9045640180555,50.8410171445037,50.8030201524561,50.7996939667735,50.8065848152838,50.8100801747922,50.804249429544,50.7971329689657,50.7828650179925,50.7502035435971,50.7002691076234,50.6313483369847,50.581780912763,50.5596749619096,50.5357660005792,50.5071335381508,50.4693681171817,50.4160420604402,50.3607758335356,50.3023245397949,50.2451202905129,50.1896944195351,50.1315268757129,50.0765119947266,50.0237947936991,49.9591346153846,49.8932142510436,49.8396298019244,49.7889357920462,49.7351207501181,49.6806512210395,49.6368221941992,49.5963032549637,49.550424031879,49.5004494670605,49.4618104850159,49.4305948273626,49.396679784212,49.3678837848449,49.3517763694217,49.3278398436468,49.3078391853188,49.292848581702
Andorra,AND,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.6624605678233,51.0356899737431,51.339648173207,51.6072177926983,51.864619241617,52.0868480891953,52.3246273759059,52.6172886278967,52.9024745269287,53.1285367825384,53.3063022475847,53.4604980878649,53.6069001568217,53.7373078334625,53.8443874622067,53.9245337365882,53.981519228156,54.0148567385921,54.0430731632809,54.0721739637381,54.1138002347549,54.152654093465,54.0037147869157,53.7162578577592,53.4596550989994,53.2162007986309,52.951852013819,52.8445218559167,52.8593977659058,52.6550770446464,52.8043957715416,53.2090987700072,53.21184737288,53.2557845492477,53.1774283414846,52.836712980348,52.5912728182046,52.4830368320994,52.4066624860434,52.2584081570537,52.1077871660196,51.9589382251108,51.8494571918323,51.8903360437505,52.0531725956622,52.1486418413609,52.250395798256,52.3364029409609,52.3073237918438,52.1713216273886,51.5543880952086,51.0162889063163,50.9709243303746,50.8557977471307,50.7214733244731,50.5791559287278,50.5700946232388,50.7009029039343,50.8275458343312,50.8859335974788,50.8994572240889,51.0578837221173,51.1799761620977,51.1452458691996,51.1161013949742,51.0958325794584,51.0751853664943,51.0525194165562,51.0346288754443,51.0147169103862,50.9908732289162,50.9652779394984,50.9408727205061,50.9162744756261,50.8861171114673,50.8564068048367,50.8267341678085,50.795865452812,50.7580782164508,50.7210754391687,50.6875379371527,50.6522222352212,50.6144177102387,50.5752129111184,50.5343835988521,50.4946971314684,50.4558075241012,50.4148955277495,50.3767180993188,50.3382098474123,50.2986799683679
Angola,AGO,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.6359747796777,50.7517753184708,50.8234209120169,50.894991420626,50.9660538766236,51.0362221390798,51.1048418609926,51.1748452224615,51.2480579374682,51.3249075895022,51.2909744894228,51.1472847566274,51.006808587002,50.8728771322596,50.7480229057302,50.6262579558193,50.5060663649798,50.3923089757905,50.2868518282416,50.1891054995746,50.0984586551717,50.0143735951663,49.9364976817512,49.8572110065603,49.7769448026176,49.7031225713561,49.63576423137,49.5613105073435,49.4836295243356,49.4157081662227,49.3536928152921,49.3074953285346,49.2684955993829,49.2069155900297,49.1392601407844,49.1172812520963,49.1298939035449,49.1428344578583,49.1460990793153,49.132616516738,49.1208666152224,49.1138791083194,49.1112755363537,49.1254986705092,49.1489441315961,49.1734945346213,49.1993841304935,49.2261206526226,49.2521892583203,49.2773225943444,49.3012396830094,49.3223609930188,49.3400985026488,49.355755734271,49.3699884060724,49.3831779962631,49.3964051966978,49.409651210964,49.422356422568,49.4345732174565,49.4441817561157,49.4531444631364,49.4637355132708,49.4741129405882,49.4840857334357,49.493411110578,49.5020872591416,49.5102236199939,49.5177863083993,49.5247671372985,49.5310078564748,49.5366099845285,49.5417970063302,49.5465801158584,49.5508921114058,49.554690564292,49.5580995009785,49.561076098193,49.5636645657735,49.5658909870064,49.5677247309482,49.5692233270301,49.5703181605633,49.570979445862,49.5711806572972,49.5708509984484,49.5701067217085,49.5690035550708,49.5675165087187,49.5657049724706,49.5635106321193
Antigua and Barbuda,ATG,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,47.7600129489416,47.8210116731518,47.8625621348217,47.8990006708062,47.8710967282831,47.7755544438886,47.671592775041,47.5597529027459,47.4438376665764,47.3377417029678,47.2933810652905,47.2901989865282,47.261471794475,47.2226539429921,47.1877487940805,47.1529942511631,47.1252470123271,47.1140897560365,47.1017208532434,47.0936926284345,47.0951140873016,47.0857496327225,47.0695377016285,47.0593670593671,47.1833916434197,47.4354012168878,47.6818719273135,47.9295030181716,48.1838328906213,48.4532175286222,48.7116875703617,48.8530590351182,48.7438668405689,48.4943662616067,48.2510996080309,48.0113803015193,47.7748089409872,47.5630867099208,47.3857924100978,47.235532870892,47.1305949727009,47.0743666933968,47.0693616855552,47.1008165990447,47.1360154473507,47.1706171257741,47.2073346235919,47.2473807891902,47.2886916248553,47.3299038884203,47.3634861288546,47.3937821433536,47.4203529681412,47.4388235962073,47.455641300062,47.4706125781521,47.4841334237348,47.4968773143798,47.5111629236962,47.5285670504794,47.5442321302194,47.5581496080045,47.5764756570444,47.5893479076247,47.5973638186239,47.6063603940217,47.6163804491413,47.6255131038838,47.6302323630568,47.6395970910307,47.6510416666667,47.6593180543146,47.6648978068903,47.6707143004903,47.6784884621341,47.6878195612733,47.6984388515879,47.7073662758983,47.718175363497,47.7319502757883,47.7453826672432,47.7615784864252,47.7765284754959,47.7943759168578,47.8167272125107,47.8386226923875,47.8631056959591,47.888850671753,47.9158392039635,47.9471587334871,47.9774867182158
Arab World,ARB,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.2365679739219,50.2471424981016,50.2767522972171,50.3100370688709,50.3494955569394,50.3931404723134,50.4138773449626,50.4115562154908,50.4156606864037,50.426809298461,50.4407578066656,50.458720681012,50.4766904193227,50.4945074996722,50.5144054059012,50.5419680794468,50.5832105300186,50.6277233277524,50.6766387988762,50.7291778156745,50.7789917751976,50.8169627423182,50.8523287639856,50.8932932857773,50.913474691821,50.9218752756801,50.9365887205399,50.9543111621008,50.9711679196653,50.9863202713105,51.0043656233763,51.0311978254066,51.0590118440579,51.0812668469699,51.0942159648627,51.1038175790464,51.1157515392869,51.1306943774791,51.1444892696179,51.1559470699371,51.1932473742308,51.2540222111384,51.3102475239877,51.3609217665853,51.4047654186286,51.4487284653434,51.5112853988938,51.5916061285098,51.6609574962998,51.7055512176747,51.6925543048756,51.7438591054414,51.8183896657982,51.8884926532385,51.9360707578656,52.0035819361221,52.0363966485597,51.9915130873329,51.8914119291731,51.8091547431792,51.7569194916154,51.6751734657969,51.7102864048449,51.7239078625809,51.7186858117193,51.70936398133,51.6934833828665,51.6748091703167,51.6538520273124,51.6305981412171,51.6050788300628,51.5792101477718,51.5537304734119,51.5287299719007,51.5043511952338,51.4804352937862,51.4569988480938,51.4341938508685,51.4120490682637,51.3903967953528,51.3692983139868,51.3487609817078,51.3287985627506,51.3094114330087,51.2905891028827,51.2723520113443,51.2547565564902,51.237904555029,51.2217412757313,51.2060692307782,51.1908467040811
