Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,4690245,4775684,4867111,4963703,5065414,5173290,5285657,5402774,5525923,5654144,5788704,5925771,6067256,6218247,6372902,6524498,6666595,6806361,6939643,6954359,6697575,6062427,5570563,5520174,5639756,5736473,5717133,5691607,5753395,5926628,6011167,6106550,6624209,7456723,8113904,8525665,8880573,9232074,9593052,9964825,10094645,10179793,10737198,11426685,11851534,12284658,12805479,13056363,13350888,13853158,14272310,14815166,15432887,15974952,16570680,17099520,17541315,18038999,18564622,19119647,19725450,20186456,20475675,20924078,21532540,22142579,22755660,23373054,23990047,24629156,25298195,25978666,26656265,27335853,28004138,28657845,29320753,29993025,30661478,31343913,32055115,32759323,33427187,34091230,34761880,35426061,36113552,36804679,37485814,38193394,38881622
Africa Eastern and Southern,AFE,"Population, male",SP.POP.TOTL.MA.IN,64409521,66120634,67916448,69778027,71729676,73764113,75854712,78035195,80320149,82672856,85084708,87568465,90093291,92770674,95582231,98419408,101328415,104222195,107361702,110755072,114176748,117807471,121647086,125529014,129387961,133361007,137461633,141699498,145924273,150129301,154515532,158830759,162958821,167708189,172098745,176020756,180255455,184627610,189507178,194559082,199703031,204988929,210469257,216138199,222011741,228081410,234350260,240843285,247584539,254530899,261666071,268876932,276304020,284095099,291989157,300126839,308229616,316499465,325347331,334380327,343576395,352841557,362165890,371478016,380832778,390560406,400571261,410590346,420612274,430722212,440922041,451201582,461535553,471908528,482357085,492890365,503463869,514060366,524690061,535352434,546064255,556812887,567579909,578387015,589224452,600059047,610900748,621776466,632657202,643520683,654364032
Africa Western and Central,AFW,"Population, male",SP.POP.TOTL.MA.IN,48455513,49456062,50496568,51587717,52711199,53877859,55091272,56338265,57634330,58989790,60418745,61911592,63463920,65097710,66822952,68642127,70515886,72466752,74525272,76671160,78886338,81183908,83592566,85923173,88244434,90726997,93280602,95905011,98620063,101439011,104221218,107053431,110090137,113152368,116237324,119482180,122812644,126230056,129810402,133465571,137246974,141202799,145298696,149531899,153906097,158410784,163013565,167742413,172635138,177608631,182712160,188052161,193467808,198941389,204535979,210192954,215955200,221769028,227523214,233199013,238881426,244638086,250438879,256499160,262752196,268922090,275070021,281296495,287594576,293935139,300315850,306741836,313218212,319729996,326260248,332805306,339373111,345947945,352517617,359087483,365641919,372177172,378696067,385187579,391648100,398074825,404462906,410807965,417116352,423379281,429594883
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,810328,836331,862888,889332,915854,941897,967434,993483,1022164,1052327,1079983,1107034,1135541,1163172,1190625,1218694,1246192,1274323,1301156,1327023,1353967,1380818,1409595,1438916,1468454,1497736,1525651,1555135,1583476,1624592,1650978,1637526,1623876,1609976,1595872,1581587,1567139,1552498,1537717,1522951,1508124,1491913,1489449,1486823,1483416,1478462,1471577,1462729,1453666,1445951,1440756,1437771,1435272,1432576,1429621,1425527,1423363,1422175,1418783,1412913,1404528,1390872,1373582,1357630,1347075,1336140,1325588,1315605,1305548,1295609,1285455,1275685,1265943,1255852,1245550,1235496,1225072,1214487,1203888,1192749,1181902,1170967,1160273,1149566,1139183,1128596,1118110,1108043,1097916,1087865,1077921
Algeria,DZA,"Population, male",SP.POP.TOTL.MA.IN,5765859,5876170,5986357,6105998,6241999,6377641,6512386,6657199,6807720,6961928,7118513,7278887,7445681,7620327,7803948,8087808,8476719,8794104,9041577,9309759,9599575,9912513,10246235,10599379,10968693,11350883,11733256,12092639,12433630,12762969,13078798,13389419,13717909,14054099,14370989,14674880,14970666,15260838,15505040,15712154,15925099,16136100,16342428,16551159,16774177,17011030,17264374,17545719,17861443,18202087,18554453,18914428,19287278,19672215,20068367,20476385,20894164,21316231,21724797,22118793,22490324,22848428,23206874,23549235,23874384,24186841,24484794,24768243,25039747,25299633,25548447,25789026,26025757,26259491,26489445,26721769,26954273,27185105,27417117,27651790,27887902,28124679,28363566,28603835,28845028,29085038,29321933,29553409,29780193,30001442,30214908
American Samoa,ASM,"Population, male",SP.POP.TOTL.MA.IN,10506,10775,11089,11422,11774,12146,12516,12883,13266,13653,13987,14252,14492,14722,14951,15216,15510,15808,16108,16385,16791,17406,18098,18809,19537,20290,21063,21854,22665,23499,24244,24852,25409,25952,26484,27003,27508,27999,28468,28899,29168,29227,29196,29122,29018,28890,28743,28590,28419,28231,28057,27886,27684,27440,27163,26861,26532,26180,25810,25421,25170,24888,24430,24001,23602,23206,22823,22462,22137,21828,21536,21271,21023,20783,20558,20356,20169,19997,19835,19681,19534,19398,19273,19162,19055,18954,18861,18767,18677,18593,18507
Andorra,AND,"Population, male",SP.POP.TOTL.MA.IN,4818,5248,5692,6149,6620,7102,7653,8333,9087,9858,10649,11463,12307,13178,14070,14976,15890,16797,17691,18550,19363,20128,20934,21790,22599,23322,24217,25182,26121,26654,27774,30152,32034,33696,34359,33769,33650,33957,34265,34339,34227,34216,34483,36057,38689,40374,41583,42851,43674,43765,41607,39682,39163,38241,37400,36505,36502,37399,38203,38915,39386,40011,40793,41354,41884,42360,42777,43120,43358,43538,43689,43771,43801,43816,43816,43825,43772,43688,43622,43541,43423,43297,43166,42996,42792,42564,42341,42104,41857,41600,41343
Angola,AGO,"Population, male",SP.POP.TOTL.MA.IN,2649099,2690647,2721244,2752564,2784880,2818210,2852358,2887186,2922522,2958206,3001952,3064286,3149294,3250028,3356153,3464328,3573134,3687623,3810101,3938443,4074945,4219016,4370267,4528522,4691934,4860528,5032793,5202876,5374561,5553615,5738038,5928501,6120976,6311837,6510836,6728958,6962184,7204542,7450239,7697722,7955060,8225203,8509854,8814938,9141912,9486138,9847394,10228480,10627960,11045400,11484638,11945063,12422551,12914239,13409269,13905216,14415388,14938928,15467791,16004756,16539639,17077372,17626416,18181690,18747466,19322247,19907353,20504721,21115214,21737337,22368430,23009738,23660919,24323146,24997164,25680092,26372808,27073169,27782307,28501337,29227768,29960223,30697864,31443307,32194151,32946933,33707969,34477309,35251815,36034954,36823406
Antigua and Barbuda,ATG,"Population, male",SP.POP.TOTL.MA.IN,26556,27038,27442,27848,28254,28651,29032,29410,29799,30210,30517,30610,30538,30384,30228,30102,30048,30088,30163,30269,30382,30448,30494,30558,30614,30639,30648,30649,30656,30683,30721,30966,31393,31806,32252,32738,33257,33795,34313,34797,35306,35809,36258,36684,37105,37553,38051,38603,39208,39839,40411,40916,41379,41777,42124,42443,42721,42969,43200,43424,43667,43919,44170,44408,44633,44849,45057,45249,45424,45593,45745,45874,45989,46089,46179,46261,46319,46352,46373,46384,46377,46355,46316,46264,46201,46126,46040,45946,45843,45732,45605
Arab World,ARB,"Population, male",SP.POP.TOTL.MA.IN,45986981,47197987,48481169,49826310,51220421,52657811,54146043,55700590,57328743,59026205,60765610,62543993,64375730,66317294,68337333,70503943,72846973,75232460,77823437,80686847,83611326,86396706,89179910,92103264,95072742,98056815,101114107,104214096,107176919,110114681,113833734,116556439,119642274,123068158,126522824,129779444,133018070,136296628,139672631,143088112,146693275,150471688,154285557,158096673,161955995,165988234,170258350,174868706,179617200,184271695,187937861,192515581,197443701,202860283,207864262,213313845,218453134,222687909,226245552,230178397,234833174,238039933,243737501,249137276,253916861,258758887,263648766,268412673,272979460,277471701,281897616,286289764,290664860,295028550,299385017,303741924,308091510,312438467,316772670,321091705,325412830,329715759,333972078,338185317,342369639,346528236,350639925,354709804,358751667,362760959,366731841
