Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
Afghanistan,AFG,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,48.0882935476898,48.1697310519126,48.2464814896337,48.3189159400184,48.3875089435659,48.4527114765154,48.5149608489678,48.5741902691425,48.6291476901243,48.6799119466292,48.7277423894346,48.7729807574855,48.8154918094744,48.8546840643761,48.8905557614864,48.9234265287005,48.9535140944564,48.9806949471229,49.0161034382767,49.0730849916375,49.1425557494997,49.215615793518,49.3187888435109,49.439612558438,49.6010266820444,49.7983084054996,49.9378681729968,50.0202189725706,50.0716287993246,50.0877204211389,50.0968232541845,50.1053160179131,50.1150503130024,50.0994634874042,50.0707226982263,50.0424971880954,50.0059673710904,49.967328905976,49.931871067816,49.8947494602717,49.8535443635096,49.8144427519482,49.7748188018617,49.7353610595745,49.6977736567828,49.6624648026931,49.6325060786827,49.6085021870639,49.5862305477154,49.5627082112131,49.539440691883,49.5184921942965,49.4997714989453,49.4826501870302,49.4681150334178,49.4572024089551,49.449550069908,49.4549248947888,49.4744514736519,49.4939087921871,49.5112221898607,49.5343797958881,49.5410071090742,49.5255128837916,49.5104190417575,49.4970282325943,49.4847045431524,49.4733965390362,49.4633317586737,49.4534764875805,49.4434505832024,49.4342387606229,49.426383334793,49.4195016550696,49.4140008291988,49.4099808899757,49.4065560413862,49.4036627851151,49.401696476366,49.3999835852988,49.3982749538382,49.3977325080977,49.3989166248614,49.400893480571,49.4033808066778,49.4066639817655,49.4099498333627,49.4137642575089,49.4185028379673,49.4231754839639,49.4289474812004
Africa Eastern and Southern,AFE,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.481670229093,50.4843896827156,50.4879886547936,50.4929151814456,50.4985155222619,50.505003616541,50.5127117437342,50.5180545898485,50.5202669287563,50.5214410453573,50.5278272181904,50.5325260986825,50.5325889039569,50.5286748105304,50.5233762625594,50.5217703872586,50.5239548716299,50.5307678738317,50.5414920800306,50.5500589577872,50.5284470424821,50.5100257498099,50.5141595093971,50.5098891253867,50.5129464208247,50.5062885772879,50.4860032171355,50.4663842598081,50.4499308406332,50.4424181822883,50.4358677554557,50.4339994122498,50.4808921298949,50.4297098836062,50.466886362378,50.6364432250681,50.7685086163726,50.8506687976885,50.8419326071494,50.8379976786979,50.8310338179982,50.8193235932661,50.8042914093178,50.7852124768437,50.765595039026,50.7465090466799,50.7259879782501,50.705527208466,50.6873216321976,50.6726357924495,50.6577530563168,50.641052962511,50.6256072070509,50.6095678322301,50.5914587927809,50.5657493979127,50.5542594667373,50.5514973002028,50.5401647595357,50.5318100766469,50.5251168582144,50.519415677621,50.5117103040984,50.5028444023299,50.4958698377704,50.4904614165996,50.4852459963348,50.4807744048209,50.4770063303882,50.4737261425542,50.4709571694369,50.4687166882406,50.466983458018,50.4657369764632,50.4648944998524,50.4644642256393,50.4645057975609,50.4650285364962,50.4659997064971,50.467345817133,50.46905171154,50.4711197788496,50.4735478428578,50.4763442402326,50.4794647237717,50.4829104942016,50.4866891844259,50.4907315714236,50.4950676508305,50.4996732071494,50.5045577036481
Africa Western and Central,AFW,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.3686839051863,50.3984432566211,50.4229679461095,50.4389193692158,50.4540196620517,50.4674516453524,50.4783982838333,50.4914494394679,50.5049485794971,50.5133824793557,50.5115380238062,50.4996156089607,50.4870842425473,50.4771869483361,50.4690779539155,50.4639058557144,50.4585952527426,50.4529885022004,50.4494832292708,50.4457648789328,50.4378556186543,50.4258170241598,50.4152157798594,50.4065708734872,50.3912393639002,50.3711600289527,50.3533836321258,50.3351366684858,50.3136007399209,50.2901702165995,50.2680773009209,50.24905926369,50.2285584150989,50.2072733431007,50.1897183834622,50.1746260292005,50.1603306503635,50.1476000486249,50.1300487313916,50.1075036322398,50.0862817244224,50.0663263099791,50.0420164830145,50.0132122467984,49.9858477693746,49.9631869090917,49.9441180292611,49.925272735932,49.9007268422337,49.8767557207588,49.8537088208836,49.8246784200186,49.7956111719095,49.7661074882982,49.7444775547571,49.7299786463467,49.7140952608504,49.6988828562406,49.6848149263177,49.6727643173499,49.6635370645762,49.6547612603042,49.6491092620691,49.6466686285924,49.6415700055521,49.6343912585124,49.627870911968,49.6224043831756,49.6178917104167,49.6142331879745,49.611362185194,49.6092081480866,49.6077458206464,49.6068922227192,49.6067060218056,49.6071736675738,49.6082388664771,49.6098727920503,49.6120318229546,49.6147488848592,49.617938590548,49.6216421662478,49.625797732372,49.6303221761076,49.6353271999967,49.6407829288557,49.6466745365298,49.6530224786697,49.6597715041509,49.6669403993145,49.6745007832929
Albania,ALB,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.631529774395,49.6125477545783,49.5776016167613,49.5449074518613,49.5156513210842,49.4904746419808,49.469986590053,49.4564408338275,49.4546946817083,49.4485571554511,49.4266738002924,49.4008927101305,49.3768308269987,49.3557879684519,49.3377933335056,49.3230772113592,49.3114143698212,49.3017802936883,49.2976893434559,49.3083238699403,49.3275245885818,49.3474263487161,49.3730564433612,49.4045016918348,49.4408689768961,49.4820802441048,49.5257885279818,49.5676182769644,49.6083156780485,49.6709886657175,49.7654948220939,49.8735454374304,49.9890175204821,50.1136271765576,50.2461606222529,50.3860132383345,50.5327392304474,50.6874407832403,50.848563236652,51.011276126319,51.1780091069682,51.2474173619353,51.1817621122041,51.0851685664961,50.9928814344791,50.9059187122642,50.8252729030234,50.7501603599473,50.678265111446,50.6083107095101,50.5408333535356,50.5103547857053,50.5147071962788,50.5170807405352,50.5168144640551,50.5146220699972,50.5106861393867,50.5064965222033,50.5025341791999,50.4969133555863,50.5073201033164,50.5321030475471,50.5494750333144,50.5592257940608,50.5681173021368,50.5790710328096,50.589525936524,50.5990350121154,50.607561419942,50.6148793978996,50.620966096969,50.6255767150237,50.6284192450307,50.6295826110393,50.6290816600208,50.62701802706,50.6229781839974,50.617110111556,50.6092926858946,50.5994067718495,50.587196866117,50.5724284172413,50.5551940355683,50.5354745915208,50.5130282762831,50.4878194004967,50.4599064300166,50.429197386582,50.3956730468334,50.3594839271989,50.3209137180013
Algeria,DZA,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.5326182533237,49.4691794560148,49.2714797424236,49.0407455509952,48.7512739317098,48.4258986108335,48.2736274122088,48.2980895328856,48.3191415158753,48.3381666315424,48.3556398417844,48.3727921028934,48.3909070392107,48.4107293766693,48.4326364115854,48.4149697833295,48.3415736444927,48.3186023877654,48.3544272128353,48.3842291369563,48.4092802055809,48.4279399963706,48.439736461942,48.4418731970319,48.4359299320152,48.4251070856845,48.4150445947589,48.4182181048459,48.4285823015666,48.4417914571844,48.4595841472647,48.4783145650671,48.4842425054266,48.476464591166,48.4675843945759,48.4552825253361,48.4357668994072,48.4070380299737,48.4096247261566,48.4413877977528,48.4689550277695,48.4983365314745,48.529140998312,48.560254163546,48.5900761075835,48.6215151354984,48.6538554307811,48.6808475664179,48.6990163013074,48.7127112663704,48.7279429701962,48.7460767817015,48.7669527887647,48.7891721000565,48.8117570628055,48.8340180115563,48.8523984680711,48.868817658248,48.8888857520056,48.9109032096307,48.9344772481397,48.9547207051373,48.9705213953571,48.988123225655,49.0019504293431,49.0108961233542,49.0201065275366,49.0296235242443,49.0394189963135,49.049561157303,49.0601707754481,49.0711472531575,49.0824164749919,49.0939645695281,49.1057418667917,49.1176640673899,49.1296999654646,49.1418275451213,49.1539709312999,49.1660013634763,49.1778113195856,49.1893967746922,49.2006948027078,49.2115718947046,49.2220247593492,49.2320487095192,49.2416172742724,49.2507423047328,49.2592529613542,49.267177620839,49.2745278710154
American Samoa,ASM,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,47.8193920127161,47.8635373820469,47.9340783172129,48.0014567968679,48.070392096326,48.1073229086559,48.1458462813342,48.1840485862527,48.208011243851,48.2368999772503,48.2461333530674,48.2366614607925,48.2336131452045,48.2259028730175,48.221645021645,48.227288193263,48.2292466370707,48.2061531404607,48.1657871025872,48.1667773876182,48.1807240070364,48.1703141283311,48.1552563735319,48.143144661024,48.1310396092174,48.1101677577741,48.0824213743468,48.0557140140711,48.0339332798349,48.0017703031644,48.0188679245283,48.0974061233867,48.1840983706846,48.2605315097988,48.3239678451573,48.3848153528557,48.440604265847,48.4952724329495,48.5524270791918,48.6221732328261,48.6975639785419,48.7721942754982,48.8354567918543,48.8836229594523,48.928156570101,48.9729233269159,49.0137297335651,49.0492399265767,49.0954359819445,49.1589828554963,49.1969798475439,49.2003060332265,49.1934151847162,49.1899198252078,49.195750570456,49.2028670310343,49.2171349820075,49.2497964564029,49.2997308923766,49.3686516630153,49.418219087237,49.4403250380904,49.4642339994208,49.4928664618492,49.5306318828183,49.5839579395598,49.6392241664644,49.6976754602051,49.7548797094871,49.8103055804649,49.8684731242871,49.9234880052734,49.9762052063009,50.0408653846154,50.1067857489564,50.1603701980756,50.2110642079538,50.2648792498819,50.3193487789606,50.3631778058008,50.4036967450363,50.449575968121,50.4995505329395,50.5381895149841,50.5694051726374,50.603320215788,50.6321162151551,50.6482236305783,50.6721601563532,50.6921608146812,50.707151418298
Andorra,AND,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.3375394321767,48.9643100262569,48.660351826793,48.3927822073017,48.135380758383,47.9131519108047,47.6753726240941,47.3827113721033,47.0975254730713,46.8714632174616,46.6936977524153,46.5395019121351,46.3930998431783,46.2626921665375,46.1556125377933,46.0754662634118,46.018480771844,45.9851432614078,45.9569268367191,45.9278260362619,45.8861997652451,45.847345906535,45.9962852130843,46.2837421422408,46.5403449010006,46.7837992013691,47.048147986181,47.1554781440833,47.1406022340942,47.3449229553536,47.1956042284584,46.7909012299928,46.7881526271201,46.7442154507523,46.8225716585155,47.163287019652,47.4087271817954,47.5169631679006,47.5933375139567,47.7415918429463,47.8922128339804,48.0410617748891,48.1505428081677,48.1096639562496,47.9468274043378,47.8513581586391,47.749604201744,47.6635970590391,47.6926762081562,47.8286783726114,48.4456119047914,48.9837110936837,49.0290756696254,49.1442022528693,49.2785266755269,49.4208440712722,49.4299053767612,49.2990970960657,49.1724541656688,49.1140664025212,49.1005427759111,48.9421162778827,48.8200238379023,48.8547541308004,48.8838986050258,48.9041674205416,48.9248146335057,48.9474805834438,48.9653711245557,48.9852830896138,49.0091267710838,49.0347220605016,49.0591272794939,49.0837255243739,49.1138828885327,49.1435931951633,49.1732658321915,49.204134547188,49.2419217835492,49.2789245608313,49.3124620628473,49.3477777647788,49.3855822897613,49.4247870888816,49.4656164011479,49.5053028685316,49.5441924758988,49.5851044722505,49.6232819006812,49.6617901525877,49.7013200316321
Angola,AGO,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.3640252203223,49.2482246815291,49.1765790879832,49.105008579374,49.0339461233764,48.9637778609202,48.8951581390074,48.8251547775385,48.7519420625318,48.6750924104978,48.7090255105772,48.8527152433726,48.993191412998,49.1271228677404,49.2519770942698,49.3737420441807,49.4939336350202,49.6076910242095,49.7131481717584,49.8108945004254,49.9015413448283,49.9856264048337,50.0635023182488,50.1427889934397,50.2230551973824,50.2968774286439,50.36423576863,50.4386894926565,50.5163704756645,50.5842918337773,50.6463071847079,50.6925046714654,50.7315044006171,50.7930844099703,50.8607398592156,50.8827187479037,50.8701060964551,50.8571655421416,50.8539009206847,50.8673834832619,50.8791333847776,50.8861208916806,50.8887244636463,50.8745013294908,50.8510558684039,50.8265054653787,50.8006158695065,50.7738793473774,50.7478107416797,50.7226774056556,50.6987603169906,50.6776390069812,50.6599014973512,50.644244265729,50.6300115939276,50.6168220037369,50.6035948033022,50.590348789036,50.577643577432,50.5654267825435,50.5558182438843,50.5468555368636,50.5362644867292,50.5258870594118,50.5159142665643,50.506588889422,50.4979127408584,50.4897763800061,50.4822136916007,50.4752328627016,50.4689921435252,50.4633900154715,50.4582029936698,50.4534198841416,50.4491078885942,50.445309435708,50.4419004990215,50.438923901807,50.4363354342265,50.4341090129936,50.4322752690518,50.4307766729699,50.4296818394367,50.429020554138,50.4288193427028,50.4291490015516,50.4298932782915,50.4309964449292,50.4324834912813,50.4342950275294,50.4364893678807
Antigua and Barbuda,ATG,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,52.2399870510584,52.1789883268483,52.1374378651783,52.1009993291938,52.1289032717168,52.2244455561114,52.328407224959,52.4402470972541,52.5561623334236,52.6622582970322,52.7066189347095,52.7098010134718,52.738528205525,52.7773460570079,52.8122512059195,52.8470057488369,52.8747529876729,52.8859102439635,52.8982791467566,52.9063073715655,52.9048859126984,52.9142503672775,52.9304622983715,52.9406329406329,52.8166083565803,52.5645987831122,52.3181280726865,52.0704969818284,51.8161671093787,51.5467824713778,51.2883124296383,51.1469409648818,51.2561331594311,51.5056337383933,51.7489003919691,51.9886196984807,52.2251910590128,52.4369132900792,52.6142075899022,52.764467129108,52.8694050272991,52.9256333066032,52.9306383144448,52.8991834009553,52.8639845526493,52.8293828742259,52.7926653764081,52.7526192108097,52.7113083751447,52.6700961115797,52.6365138711454,52.6062178566464,52.5796470318588,52.5611764037927,52.544358699938,52.5293874218479,52.5158665762652,52.5031226856202,52.4888370763038,52.4714329495206,52.4557678697806,52.4418503919955,52.4235243429556,52.4106520923753,52.4026361813761,52.3936396059783,52.3836195508587,52.3744868961162,52.3697676369432,52.3604029089693,52.3489583333333,52.3406819456854,52.3351021931097,52.3292856995097,52.3215115378659,52.3121804387267,52.3015611484121,52.2926337241017,52.281824636503,52.2680497242117,52.2546173327568,52.2384215135748,52.2234715245041,52.2056240831422,52.1832727874893,52.1613773076125,52.1368943040409,52.111149328247,52.0841607960365,52.0528412665129,52.0225132817842
Arab World,ARB,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.7634320260781,49.7528575018984,49.7232477027829,49.6899629311291,49.6505044430606,49.6068595276866,49.5861226550374,49.5884437845092,49.5843393135963,49.573190701539,49.5592421933344,49.541279318988,49.5233095806773,49.5054925003278,49.4855945940988,49.4580319205532,49.4167894699814,49.3722766722476,49.3233612011238,49.2708221843256,49.2210082248024,49.1830372576818,49.1476712360144,49.1067067142227,49.086525308179,49.0781247243199,49.0634112794601,49.0456888378992,49.0288320803347,49.0136797286895,48.9956343766237,48.9688021745934,48.9409881559421,48.91873315303,48.9057840351373,48.8961824209536,48.8842484607131,48.8693056225209,48.8555107303821,48.8440529300629,48.8067526257692,48.7459777888616,48.6897524760123,48.6390782334147,48.5952345813714,48.5512715346566,48.4887146011062,48.4083938714902,48.3390425037002,48.2944487823253,48.3074456951244,48.2561408945586,48.1816103342018,48.1115073467615,48.0639292421344,47.9964180638779,47.9636033514403,48.0084869126671,48.1085880708269,48.1908452568208,48.2430805083846,48.3248265342031,48.2897135951551,48.2760921374191,48.2813141882806,48.29063601867,48.3065166171335,48.3251908296833,48.3461479726877,48.3694018587829,48.3949211699372,48.4207898522282,48.4462695265881,48.4712700280993,48.4956488047662,48.5195647062138,48.5430011519062,48.5658061491315,48.5879509317363,48.6096032046472,48.6307016860132,48.6512390182922,48.6712014372494,48.6905885669913,48.7094108971173,48.7276479886557,48.7452434435098,48.7620954449711,48.7782587242687,48.7939307692218,48.8091532959189
